"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2022304","Residential Attached","S","103 5000 IMPERIAL STREET","Metrotown","2009","Apartment/Condo","7","Burnaby South","Burnaby","3/4/2016","TERESA PANG","1","$1,843.34","1/4/2016","027-903-826","3","$206.00","2/2/2016","$287,000","$473.60","1.00","1","1","APT","$288,000","29","606","$473.60","1.00","Apartment/Condo"
"R2023620","Residential Attached","S","903 1188 PINETREE WAY","North Coquitlam","2016","Apartment/Condo","0","Coquitlam","Coquitlam","5/31/2016","MICHAEL","1","$0.00","1/6/2016","029-731-941",,"$182.00","1/28/2016","$288,000","$500.00","1.00","1","1","MF","$289,000","22","576","$500.00","1.00","Apartment/Condo"
"R2029814","Residential Attached","S","411 19228 64 AVENUE","Cloverdale BC","2016","Apartment/Condo","0","Cloverdale","Surrey","1/30/2017","Denean Arnold","2","$0.00","1/30/2016","900-577-811","5","$221.87","1/30/2016","$289,000","$303.89","1.00","2","2","CDZ","$289,000","0","951","$303.89","1.00","Apartment/Condo"
"R2025058","Residential Attached","S","705 258 SIXTH STREET","Uptown NW","2014","Apartment/Condo","2","New Westminster","New Westminster","7/6/2016","DONNA CHAN","1","$1,708.98","1/12/2016","029-236-738",,"$265.15","1/29/2016","$289,000","$485.71","0.97","1","1","MF","$299,000","17","595","$485.71","0.97","Apartment/Condo"
"R2024828","Residential Attached","S","404 19530 65 AVENUE","Clayton","2011","Apartment/Condo","5","Cloverdale","Surrey","7/15/2016","Jacquie or Kurt or Touchbase","2","$1,549.54","1/13/2016","028-735-820","4","$295.61","1/29/2016","$289,800","$313.30","1.00","2","2","STRATA","$289,800","16","925","$313.30","1.00","Apartment/Condo"
"R2029100","Residential Attached","S","316 2150 E HASTINGS STREET","Hastings","2009","Apartment/Condo","7","Vancouver East","Vancouver","5/31/2016","Jessica","1","$965.14","1/27/2016","027-998-291","4","$150.00","2/2/2016","$289,900","$602.70","0.97","1","1","RES","$299,000","6","481","$602.70","0.97","Apartment/Condo"
"R2031106","Residential Attached","S","85 30989 WESTRIDGE PLACE","Abbotsford West","2016","Townhouse","0","Abbotsford","Abbotsford","4/28/2016","Margot Bates","2","$0.00","1/29/2016","900-577-833",,"$185.06","1/31/2016","$289,900","$235.31","1.00","2","1","RM60","$289,900","2","1,232","$235.31","1.00","Townhouse"
"R2010870","Residential Attached","S","312 19228 64 AVENUE","Cloverdale BC","2015","Apartment/Condo","1","Cloverdale","Surrey","10/26/2016","Denean","2","$0.00","10/24/2015","900-576-674","4","$290.00","1/31/2016","$290,000","$285.43","1.00","2","2","CDZ","$290,000","99","1,016","$285.43","1.00","Apartment/Condo"
"F1449783","Residential Attached","S","409 12039 64TH AVENUE","West Newton","2012","Apartment/Condo","4","Surrey","Surrey","7/1/2016","SOLON","2","$1,708.00","8/8/2015","028-951-760","4","$262.37","2/1/2016","$290,000","$336.82","0.94","2","2","CD","$309,800","177","861","$336.82","0.94","Apartment/Condo"
"R2025833","Residential Attached","S","105 12711 64 AVENUE","West Newton","2004","Townhouse","12","Surrey","Surrey","4/14/2016","Julie / Jason","2","$1,849.45","1/14/2016","026-081-369",,"$183.01","1/31/2016","$290,000","$217.23","0.97","3","2","MF","$299,900","17","1,335","$217.23","0.97","Townhouse"
"R2028708","Residential Attached","S","15 31255 UPPER MACLURE ROAD","Abbotsford West","1992","Townhouse","24","Abbotsford","Abbotsford","12/31/2016","Harpreet/Davinder","2","$2,076.05","1/25/2016","018-026-052","2","$271.10","1/31/2016","$291,000","$170.18","1.00","2","3","RM","$290,000","6","1,710","$170.18","1.00","Townhouse"
"N248275","Residential Detached","S","939 CARIBOO TRAIL","100 Mile House - Town","2009","House/Single Family","7","100 Mile House (Zone 10)","100 Mile House","3/31/2016","RON KELLY","2","$3,275.00","9/1/2015","028-097-203",,,"1/30/2016","$292,500","$116.81","0.98","2","4","R1","$299,900","151","2,504","$116.81","0.98","House/Single Family"
"R2026941","Residential Attached","S","303B 1210 QUAYSIDE DRIVE","Quay","1989","Apartment/Condo","27","New Westminster","New Westminster","7/28/2016","Sharon Good","1","$1,649.02","1/20/2016","012-899-593","4","$295.00","1/29/2016","$295,000","$313.83","0.98","1","1","RM-6","$300,000","9","940","$313.83","0.98","Apartment/Condo"
"R2026973","Residential Attached","S","1843 LILAC DRIVE","King George Corridor","1978","Townhouse","38","South Surrey White Rock","Surrey","6/30/2016","Neil Barnes","1","$1,777.39","1/18/2016","002-026-295",,"$258.77","2/1/2016","$295,000","$187.66","0.99","2","3","RM15","$298,900","14","1,572","$187.66","0.99","Townhouse"
"R2028875","Residential Attached","S","902 1333 HORNBY STREET","Downtown VW","1978","Apartment/Condo","38","Vancouver West","Vancouver","4/27/2016","Mike","1","$794.03","1/27/2016","006-365-141","8","$214.00","2/1/2016","$295,000","$658.48","1.02","1","0","DD","$289,000","5","448","$658.48","1.02","Apartment/Condo"
"R2017813","Residential Attached","S","4 27295 30TH AVENUE","Aldergrove Langley","2005","Townhouse","11","Langley","Langley","2/28/2016","Shelly","2","$2,469.67","11/27/2015","026-403-285",,"$220.00","1/30/2016","$295,000","$161.91","0.99","3","3","CD59","$298,800","64","1,822","$161.91","0.99","Townhouse"
"R2031615","Residential Attached","S","203 8733 160 STREET","Fleetwood Tynehead","2016","Apartment/Condo","0","Surrey","Surrey","3/31/2016","Phil","2","$0.00","1/28/2016","029-694-868",,"$311.00","1/28/2016","$295,238","$278.79","0.95","2","2","MF","$310,000","0","1,059","$278.79","0.95","Apartment/Condo"
"R2029680","Residential Attached","S","81 20560 66 AVENUE","Willoughby Heights","2002","Townhouse","14","Langley","Langley","5/26/2016","Bryan","2","$2,684.00","1/29/2016","025-792-547",,"$219.00","2/1/2016","$296,500","$255.60","0.98","2","2","CD32","$302,900","3","1,160","$255.60","0.98","Townhouse"
"R2030511","Residential Attached","S","6 6887 SHEFFILED WAY","Sardis East Vedder Rd","2002","Townhouse","14","Sardis","Chilliwack","6/1/2016","KYLE NASON","2","$2,082.40","2/1/2016","025-570-331",,"$172.00","2/1/2016","$297,900","$190.84","1.00","3","3","CD-7","$297,900","0","1,561","$190.84","1.00","Townhouse"
"R2029270","Residential Attached","S","401 370 CARRALL STREET","Downtown VE","1984","Apartment/Condo","32","Vancouver East","Vancouver","4/30/2016","HEATHER","1","$854.00","1/25/2016","006-431-160","4","$197.99","2/1/2016","$298,000","$745.00","1.00","1","0","MF","$298,000","7","400","$745.00","1.00","Apartment/Condo"
"R2029466","Residential Detached","S","4334 KEHLER STREET","Yarrow","9999","House/Single Family","999","Yarrow","Yarrow","6/30/2016","Sabrina vandenBrink Team","1","$3,065.88","1/27/2016","011-077-972",,,"1/30/2016","$298,500","$244.87","0.96","1","3","R1A","$309,900","3","1,219","$244.87","0.96","House/Single Family"
"R2029737","Residential Attached","S","2302 1188 PINETREE WAY","North Coquitlam","2016","Apartment/Condo","0","Coquitlam","Coquitlam","4/30/2016","Betty Hsiao","0","$0.00","1/29/2016","029-732-999","48","$182.47","2/2/2016","$299,000","$519.10","1.00","0","1","MF","$299,000","4","576","$519.10","1.00","Apartment/Condo"
"R2023106","Residential Attached","S","310 1432 PARKWAY BOULEVARD","Westwood Plateau","1999","Apartment/Condo","17","Coquitlam","Coquitlam","11/19/2016","FAITH","2","$1,746.10","1/5/2016","024-186-015",,"$270.00","2/2/2016","$299,000","$369.59","1.00","2","2","RES","$299,888","28","809","$369.59","1.00","Apartment/Condo"
"R2027715","Residential Attached","S","3 2950 LEFEUVRE ROAD","Aberdeen","2013","Townhouse","3","Abbotsford","Abbotsford","6/30/2016","Ben or Monique","2","$2,198.00","1/25/2016","028-932-609","3","$118.00","2/1/2016","$299,200","$182.77","1.00","3","2","MF","$299,000","7","1,637","$182.77","1.00","Townhouse"
"R2026967","Residential Attached","S","1859 LILAC DRIVE","King George Corridor","1978","Townhouse","38","South Surrey White Rock","Surrey","6/30/2016","Neil Barnes","1","$1,757.00","1/18/2016","002-026-228",,"$258.77","1/31/2016","$300,000","$190.84","1.00","2","3","RM-15","$298,900","13","1,572","$190.84","1.00","Townhouse"
"R2027404","Residential Attached","S","108 3075 PRIMROSE LANE","North Coquitlam","1994","Apartment/Condo","22","Coquitlam","Coquitlam","4/22/2016","BARB","1","$1,621.00","1/22/2016","018-547-770","4","$381.77","1/28/2016","$300,000","$346.02","0.96","1","2","RM6","$314,000","6","867","$346.02","0.96","Apartment/Condo"
"V1107963","Land Only","S","6101 SILVERSTONE LANE","Sechelt District",,,,"Sunshine Coast","Sechelt","2/28/2016","Pat or Carrie",,"$3,272.00","2/28/2015","027-165-388",,,"2/1/2016","$300,000","$49.37","0.81",,,"R1","$369,900","338",,"$49.37","0.81","Other"
"F1448349","Residential Attached","S","401 8733 160TH STREET","Fleetwood Tynehead","2015","Apartment/Condo","1","Surrey","Surrey","7/24/2016","PHIL","2",,"7/24/2015","900-575-705","4","$288.83","1/28/2016","$301,809","$306.72","0.95","2","2","MF","$316,900","51","984","$306.72","0.95","Apartment/Condo"
"R2016655","Residential Attached","S","210 8733 160 STREET","Fleetwood Tynehead","2015","Apartment/Condo","1","Surrey","Surrey","3/31/2016","Phil","2","$0.00","11/18/2015","900-577-159","4","$311.29","1/30/2016","$302,761","$285.89","0.95","2","2","MF","$317,900","73","1,059","$285.89","0.95","Apartment/Condo"
"R2018997","Residential Detached","S","15 STICKNEY STREET","Kitimat","1984","House/Single Family","32","Kitimat (Zone 89)","Kitimat","3/1/2016",,"2","$2,396.70","12/1/2015","005-654-068",,,"1/29/2016","$303,500","$140.77","0.95","3","3","R2A","$319,000","59","2,156","$140.77","0.95","House/Single Family"
"H2153461","Residential Detached","S","8622 CHILLIWACK MOUNTAIN ROAD","Chilliwack Mountain","9999","House/Single Family","999","Chilliwack","Chilliwack","2/28/2016","RANDY ACKERMAN","2","$1,749.00","9/4/2015","023-260-033",,,"2/2/2016","$304,000","$184.24","0.85","2","3","M1","$359,000","150","1,650","$184.24","0.85","House/Single Family"
"R2029288","Residential Attached","S","1413 1327 E KEITH ROAD","Lynnmour","1994","Apartment/Condo","22","North Vancouver","North Vancouver","3/31/2016","Dana","1","$2,342.59","1/28/2016","017-842-441",,"$285.00","1/28/2016","$304,000","$387.26","0.98","1","1","MFD","$309,000","0","785","$387.26","0.98","Apartment/Condo"
"R2024859","Residential Detached","S","46120 REECE AVENUE","Chilliwack N Yale-Well","1945","House/Single Family","71","Chilliwack","Chilliwack","7/15/2016","DOUG","1","$1,824.70","1/11/2016","012-329-282",,,"2/2/2016","$304,000","$256.97","0.97","1","3","R1A","$315,000","22","1,183","$256.97","0.97","House/Single Family"
"R2030360","Land Only","S","35601 EAGLE PEAK LANE","Abbotsford East",,,,"Abbotsford","Abbotsford","11/1/2016","Kevin Rolland / Mike Gerrits",,"$2,133.00","1/30/2016","027-828-549",,,"2/1/2016","$304,000","$30.27","0.95",,,"N4","$319,000","2",,"$30.27","0.98","Other"
"R2028281","Residential Attached","S","412 5885 IRMIN STREET","Metrotown","2009","Apartment/Condo","7","Burnaby South","Burnaby","4/26/2016","TOUCHBASE","1","$1,893.77","1/26/2016","028-000-650","4","$219.19","1/31/2016","$305,000","$497.55","0.98","1","1","APT","$309,900","5","613","$497.55","0.98","Apartment/Condo"
"R2028722","Residential Attached","S","30 8778 159 STREET","Fleetwood Tynehead","2003","Townhouse","13","Surrey","Surrey","4/27/2016","Mike Marfori","2","$1,631.71","1/27/2016","025-722-972",,"$260.00","2/1/2016","$305,000","$264.76","1.02","2","2","RM 30","$299,800","5","1,152","$264.76","1.02","Townhouse"
"V1137603","Residential Attached","S","126 9500 ODLIN ROAD","West Cambie","2011","Apartment/Condo","5","Richmond","Richmond","5/31/2016","TEXT PLS - AMY","1","$1,248.00","8/3/2015","028-427-475",,"$214.36","2/2/2016","$306,000","$446.06","0.97","1","1","APT","$316,000","183","686","$446.06","0.97","Apartment/Condo"
"N246762","Residential Detached","S","342 KILLOREN CRESCENT","Heritage","1977","House/Single Family","39","PG City West (Zone 71)","Prince George","3/31/2016","DARYL","3","$2,817.00","7/8/2015","003-701-018",,,"1/30/2016","$306,000","$148.54","0.99","3","3","RS2","$310,000","206","2,060","$148.54","0.88","House/Single Family"
"R2028751","Residential Attached","S","412 6833 VILLAGE GREEN","Highgate","2000","Apartment/Condo","16","Burnaby South","Burnaby","6/30/2016","MARCELA","1","$1,816.79","1/26/2016","024-734-063","4","$243.14","2/1/2016","$306,000","$456.72","1.02","1","1","CD","$299,000","6","670","$456.72","1.02","Apartment/Condo"
"R2025961","Residential Attached","S","410 3638 VANNESS AVENUE","Collingwood VE","2005","Apartment/Condo","11","Vancouver East","Vancouver","4/30/2016","CROSSTOWN MARKETING GROUP","1","$975.75","1/18/2016","026-240-874","4","$221.69","1/29/2016","$306,000","$515.15","0.99","1","1","STRATA","$310,000","11","594","$515.15","0.99","Apartment/Condo"
"R2024282","Residential Attached","S","301 3323 151 STREET","Morgan Creek","2014","Apartment/Condo","2","South Surrey White Rock","Surrey","3/10/2016","Jenny Xu","2","$1,619.00","1/11/2016","029-252-288",,"$284.00","1/30/2016","$307,000","$377.61","1.00","2","2","MFD","$305,800","19","813","$377.61","1.00","Apartment/Condo"
"R2028474","Residential Attached","S","106 55 EIGHTH AVENUE","GlenBrooke North","2013","Apartment/Condo","3","New Westminster","New Westminster","7/31/2016","TIM HILL","1","$1,607.04","1/25/2016","029-111-722","4","$235.01","1/29/2016","$307,400","$442.30","1.03","1","1","STRATA","$299,900","4","695","$442.30","1.03","Apartment/Condo"
"R2015850","Residential Attached","S","102 1838 RENFREW STREET","Renfrew VE","2017","Apartment/Condo","0","Vancouver East","Vancouver","12/30/2016","HELEN LEE","1","$0.00","11/16/2015","800-100-694","4","$167.00","1/31/2016","$307,900","$571.24","1.00","1","1","C2C1","$307,900","76","539","$571.24","1.00","Apartment/Condo"
"R2029322","Residential Attached","S","1306 1148 HEFFLEY CRESCENT","North Coquitlam","1999","Apartment/Condo","17","Coquitlam","Coquitlam","6/22/2016","KYLE LAMB","2","$1,830.92","1/28/2016","024-282-502",,"$300.41","1/30/2016","$308,000","$322.51","1.03","2","2","STRATA","$299,999","2","955","$322.51","1.03","Apartment/Condo"
"R2020832","Residential Attached","S","203 11240 MELLIS DRIVE","East Cambie","1987","Apartment/Condo","29","Richmond","Richmond","4/19/2016","ROGER","2","$1,068.00","12/16/2015","006-572-812","4","$279.04","2/2/2016","$308,000","$259.26","1.00","2","2","RAM1","$308,000","48","1,188","$259.26","1.00","Apartment/Condo"
"R2000389","Residential Detached","S","LOT B LONE BUTTE-HORSE LAKE ROAD","Lone Butte/Green Lk/Watch Lk","1980","House with Acreage","36","100 Mile House (Zone 10)","Lone Butte","3/31/2016","MEL OR ADAM","2","$1,685.82","9/11/2015","800-098-653",,,"2/1/2016","$311,000","$145.19","1.04","2","3","RR2","$299,900","143","2,142","$145.19","1.04","House with Acreage"
"R2029241","Residential Attached","S","119 7760 MOFFATT ROAD","Brighouse South","1988","Apartment/Condo","28","Richmond","Richmond","7/27/2016","WENDI NEUMAN","2","$1,198.79","1/27/2016","008-056-587","0","$294.69","2/1/2016","$311,000","$322.61","0.97","2","2","RAM1","$319,000","5","964","$322.61","0.97","Apartment/Condo"
"R2024299","Residential Attached","S","30 5837 SAPPERS WAY","Vedder S Watson-Promontory","2007","Townhouse","9","Sardis","Chilliwack","7/10/2016","TOUCHBASE OR SHERYL","3","$2,121.95","1/10/2016","027-125-858",,"$255.92","2/1/2016","$312,000","$156.47","1.04","3","3","R4","$299,000","22","1,994","$156.47","1.04","Townhouse"
"R2022701","Residential Attached","S","116 4749 SPEARHEAD DRIVE","Benchlands","1988","Apartment/Condo","28","Whistler","Whistler","8/30/2016","PETER","1","$2,192.00","12/31/2015","012-422-045",,"$548.41","1/29/2016","$312,000","$524.37","1.09","1","1","RM1","$287,500","18","595","$524.37","1.09","Apartment/Condo"
"R2025071","Residential Attached","S","111 585 AUSTIN AVENUE","Coquitlam West","1977","Apartment/Condo","39","Coquitlam","Coquitlam","11/30/2016","JULIA KIM","1","$1,880.00","1/14/2016","001-498-363",,"$287.00","1/30/2016","$313,000","$271.94","0.98","2","2","APT","$320,000","16","1,151","$271.94","0.98","Apartment/Condo"
"R2024355","Residential Attached","S","207 335 CARNARVON STREET","Downtown NW","1995","Apartment/Condo","21","New Westminster","New Westminster","4/28/2016","TOUCHBASE","2","$1,517.10","1/10/2016","023-885-416",,"$411.83","1/28/2016","$313,000","$312.38","0.98","2","2","C-4","$319,898","18","1,002","$312.38","0.95","Apartment/Condo"
"R2025678","Residential Attached","S","217 700 KLAHANIE DRIVE","Port Moody Centre","2007","Apartment/Condo","9","Port Moody","Port Moody","6/6/2016","TOUCHBASE","1","$1,619.57","1/15/2016","027-269-698","4","$195.60","1/29/2016","$314,000","$459.06","0.99","1","1","MULTI","$317,900","14","684","$459.06","0.99","Apartment/Condo"
"R2028348","Residential Attached","S","1110 1188 PINETREE WAY","North Coquitlam","2016","Apartment/Condo","0","Coquitlam","Coquitlam","6/30/2016","SAN (TEXT ok/No TB)","1","$0.00","1/24/2016","029-732-182",,"$204.00","1/30/2016","$315,000","$494.51","0.99","1","1","MFD","$318,000","6","637","$494.51","0.99","Apartment/Condo"
"R2025974","Residential Attached","S","34 6449 BLACKWOOD LANE","Sardis West Vedder Rd","2005","Townhouse","11","Sardis","Sardis","4/30/2016","STEVE DAVIES","2","$2,132.06","1/15/2016","026-208-938",,"$196.93","1/28/2016","$315,500","$176.85","1.00","3","3","R4","$314,900","13","1,784","$176.85","1.00","Townhouse"
"R2020482","Residential Attached","S","213 19721 64 AVENUE","Willoughby Heights","1991","Apartment/Condo","25","Langley","Langley","3/31/2016","JOHN WANG","2","$2,411.46","12/12/2015","016-303-024",,"$496.00","1/30/2016","$317,000","$166.67","0.94","2","3","RM3","$339,000","49","1,902","$166.67","0.91","Apartment/Condo"
"R2022732","Residential Attached","S","305 1575 BEST STREET","White Rock","1994","Apartment/Condo","22","South Surrey White Rock","White Rock","4/5/2016","Bill Dunlop","2","$1,937.00","1/5/2016","018-541-321","5","$321.27","1/31/2016","$318,000","$280.92","0.98","2","2","MF","$325,000","26","1,132","$280.92","0.98","Apartment/Condo"
"R2028367","Residential Attached","S","90 6747 203 STREET","Willoughby Heights","2004","Townhouse","12","Langley","Langley","7/12/2016","Touchbase","2","$2,758.83","1/26/2016","026-264-366",,"$215.33","1/30/2016","$318,000","$271.79","1.03","2","2","MF","$309,900","4","1,170","$271.79","1.03","Townhouse"
"R2029705","Residential Attached","S","602 9373 HEMLOCK DRIVE","McLennan North","2008","Apartment/Condo","8","Richmond","Richmond","4/30/2016","DANIEL DENG","1","$1,294.22","1/29/2016","027-655-687",,"$159.62","2/2/2016","$319,800","$569.04","0.98","1","1","APT","$326,800","4","562","$569.04","0.98","Apartment/Condo"
"R2032126","Residential Attached","S","317 15168 33 AVENUE","Morgan Creek","2016","Apartment/Condo","0","South Surrey White Rock","Surrey","5/1/2016","Judy Rohatyn","2","$0.00","2/1/2016","900-577-882","4","$280.26","2/2/2016","$319,900","$376.35","1.00","2","2","CD","$319,900","1","850","$376.35","1.00","Apartment/Condo"
"R2024979","Residential Attached","S","103 8772 SW MARINE DRIVE","Marpole","1986","Townhouse","30","Vancouver West","Vancouver","4/11/2016","KELLY","1","$1,288.00","1/12/2016","005-097-436","3","$381.90","1/28/2016","$320,000","$315.58","0.91","1","2","MF","$349,900","0","1,014","$315.58","0.91","Townhouse"
"R2029832","Land Only","S","LOT  P BOYLE ROAD","Gibsons & Area",,,,"Sunshine Coast","Gibsons","5/30/2016",,,"$1.00","1/30/2016","029-704-367",,,"1/30/2016","$320,000","$2.62","0.97",,,"RU-1","$329,500","0",,"$2.62","0.97","Other"
"R2030299","Residential Attached","S","610 1188 PINETREE WAY","Central Coquitlam","2016","Apartment/Condo","0","Coquitlam","Coquitlam","5/1/2016","Judy","1","$552.85","2/1/2016","029-731-739","48","$203.56","2/2/2016","$320,000","$502.35","0.98","1","1","MFD","$325,000","1","637","$502.35","0.98","Apartment/Condo"
"R2030887","Residential Attached","S","2102 4508 HAZEL STREET","Forest Glen BS","2015","Apartment/Condo","1","Burnaby South","Burnaby","6/30/2016","ZHAO GE","1","$888.00","1/29/2016","029-485-517",,"$140.37","1/29/2016","$320,000","$800.00","0.98","1","0","CD","$328,000","0","400","$800.00","0.98","Apartment/Condo"
"R2017640","Residential Attached","S","9124 CENTAURUS CIRCLE","Simon Fraser Hills","1983","Townhouse","33","Burnaby North","Burnaby","5/26/2016","KARIM DOSSA","1","$1,918.31","11/26/2015","001-940-104",,"$429.81","1/28/2016","$320,000","$300.19","0.98","2","2","MF","$324,900","63","1,066","$300.19","0.94","Townhouse"
"R2024566","Residential Attached","S","107 522 SMITH AVENUE","Coquitlam West","1999","Apartment/Condo","17","Coquitlam","Coquitlam","4/30/2016","Satnam Sidhu","2","$1,931.64","1/12/2016","024-461-580","4","$297.98","1/28/2016","$324,800","$375.49","0.96","2","2","MF","$339,000","16","865","$375.49","0.96","Apartment/Condo"
"R2015959","Residential Attached","S","511 3399 NOEL DRIVE","Sullivan Heights","2017","Apartment/Condo","0","Burnaby North","Burnaby","2/16/2016","LOUISE BARBOUR OR ANGELA LANGE","1","$0.00","11/16/2015","029-615-771","4","$218.04","2/1/2016","$324,900","$474.31","1.00","1","1","RM2","$324,900","77","685","$474.31","1.00","Apartment/Condo"
"R2032138","Residential Attached","S","431 15168 33 AVENUE","Morgan Creek","2016","Apartment/Condo","0","South Surrey White Rock","Surrey","5/1/2016","Judy Rohatyn","2","$0.00","2/1/2016","900-577-896","4","$280.26","2/2/2016","$324,900","$382.24","1.00","2","2","CD","$324,900","1","850","$382.24","1.00","Apartment/Condo"
"R2031075","Residential Attached","S","234 15168 33RD AVENUE","Morgan Creek","2016","Apartment/Condo","0","South Surrey White Rock","Surrey","4/29/2016","JUDY ROHATYN","2",,"1/29/2016","900-577-835","4","$301.54","1/31/2016","$324,900","$355.08","1.00","2","2","CD","$324,900","2","915","$355.08","1.00","Apartment/Condo"
"R2006800","Residential Detached","S","1399 MOFFAT AVENUE","Quesnel - Town","1994","House/Single Family","22","Quesnel (Zone 28)","Quesnel","1/31/2016","RAY BLACKMORE","3","$3,598.34","10/7/2015","017-822-416",,,"1/31/2016","$325,000","$115.91","0.96","3","3","RS1","$337,500","116","2,804","$115.91","0.93","House/Single Family"
"R2021731","Residential Attached","S","63 20460 66 AVENUE","Willoughby Heights","2005","Townhouse","11","Langley","Langley","5/1/2016","Amy","2","$2,560.99","12/29/2015","025-968-297",,"$217.91","1/29/2016","$326,000","$255.09","1.00","3","3","MF","$325,000","31","1,278","$255.09","1.00","Townhouse"
"R2019994","Residential Attached","S","403 7011 BLUNDELL ROAD","Brighouse South","1992","Apartment/Condo","24","Richmond","Richmond","6/15/2016","HAO WANG","2","$1,384.01","12/9/2015","017-944-368",,"$244.84","1/29/2016","$326,000","$316.20","0.95","2","2","RAM1","$344,900","51","1,031","$316.20","0.95","Apartment/Condo"
"R2027094","Residential Attached","S","401 6508 DENBIGH AVENUE","Forest Glen BS","2004","Apartment/Condo","12","Burnaby South","Burnaby","7/31/2016","Heiner Blum","1","$1,966.90","1/19/2016","025-835-548","4","$235.45","1/31/2016","$328,000","$433.86","0.97","1","1","STRATA","$338,800","12","756","$433.86","0.97","Apartment/Condo"
"R2013372","Residential Attached","S","202 1023 WOLFE AVENUE","Shaughnessy","1992","Apartment/Condo","24","Vancouver West","Vancouver","3/1/2016","DENNIS JACKSON","1","$1,219.70","11/2/2015","017-500-702","4","$268.32","2/1/2016","$328,000","$482.35","0.97","1","1","RM-3A","$338,000","91","680","$482.35","0.97","Apartment/Condo"
"R2027023","Residential Detached","S","6882 SEAVIEW ROAD","Sechelt District","1984","House/Single Family","32","Sunshine Coast","Sechelt","1/20/2017","ALI KHAN","1","$2,269.00","1/21/2016","008-854-980",,,"1/30/2016","$329,000","$229.91","1.00","2","3","R1","$329,000","9","1,431","$229.91","1.00","House/Single Family"
"R2021730","Residential Attached","S","15 6712 BAKER ROAD","Sunshine Hills Woods","1979","Townhouse","37","N. Delta","Delta","2/28/2016","Todd","1","$1,692.68","12/22/2015","001-742-418",,"$204.28","1/28/2016","$329,000","$256.03","0.98","2","3","MFD","$334,800","37","1,285","$256.03","0.98","Townhouse"
"R2030810","Residential Attached","S","310 2889 E 1ST AVENUE","Renfrew VE","2017","Apartment/Condo","0","Vancouver East","Vancouver","12/31/2016","HELEN LEE","1","$0.00","1/28/2016","800-102-468","4","$173.55","2/1/2016","$329,500","$565.18","1.00","1","1","C2C1","$329,500","4","583","$565.18","1.00","Apartment/Condo"
"R2031271","Residential Attached","S","307 2889 E 1ST AVENUE","Renfrew VE","2017","Apartment/Condo","0","Vancouver East","Vancouver","12/31/2016","HELEN LEE","1","$0.00","1/31/2016","800-102-519","4","$173.55","2/1/2016","$329,500","$565.18","1.00","1","1","C2C1","$329,500","1","583","$565.18","1.00","Apartment/Condo"
"R2027855","Residential Attached","S","706 4194 MAYWOOD STREET","Metrotown","1981","Apartment/Condo","35","Burnaby South","Burnaby","4/22/2016","TOUCHBASE","1","$1,899.65","1/22/2016","001-884-743",,"$359.23","1/31/2016","$329,700","$364.31","0.97","2","2","APT","$338,900","9","905","$364.31","0.97","Apartment/Condo"
"R2031640","Residential Attached","S","327 15168 33 AVENUE","Morgan Creek","2016","Apartment/Condo","0","South Surrey White Rock","Surrey","4/30/2016","Judy Rohatyn","2","$0.00","1/30/2016","900-577-852","4","$312.18","1/30/2016","$329,900","$348.36","1.00","2","2","CD","$329,900","0","947","$348.36","1.00","Apartment/Condo"
"R2031067","Residential Attached","S","106 30989 WESTRIDGE PLACE","Abbotsford West","2016","Townhouse","0","Abbotsford","Abbotsford","4/28/2016","Margot Bates","2","$0.00","1/29/2016","900-577-834",,"$194.71","1/31/2016","$329,900","$253.18","1.00","3","3","RM60","$329,900","2","1,303","$253.18","1.00","Townhouse"
"R2029112","Residential Attached","S","8985 HORNE STREET","Government Road","1975","Townhouse","41","Burnaby North","Burnaby","8/1/2016","Pamela","1","$1,873.89","1/25/2016","000-524-620","2","$381.00","2/1/2016","$330,000","$264.21","1.03","2","3","FM-1","$318,900","7","1,249","$264.21","1.03","Townhouse"
"R2021533","Residential Attached","S","633 9009 CORNERSTONE MEWS","Simon Fraser Univer.","2009","Apartment/Condo","7","Burnaby North","Burnaby","6/30/2016","CLARA","1","$2,047.79","12/22/2015","027-944-425","7","$164.08","1/28/2016","$330,000","$560.27","0.97","1","1","APT","$338,800","37","589","$560.27","0.97","Apartment/Condo"
"R2026655","Residential Attached","S","208 6070 MCMURRAY AVENUE","Forest Glen BS","1988","Apartment/Condo","28","Burnaby South","Burnaby","6/30/2016","WENDY LU","1","$1,806.59","1/18/2016","005-559-308",,"$238.12","2/2/2016","$330,000","$407.41","0.95","1","1","APT","$349,000","15","810","$407.41","0.95","Apartment/Condo"
"R2027924","Residential Attached","S","314 2556 E HASTINGS STREET","Renfrew VE","1995","Apartment/Condo","21","Vancouver East","Vancouver","4/30/2016","Karlis","1","$882.57","1/25/2016","019-195-010","3","$168.62","2/1/2016","$330,000","$570.93","1.10","1","0","C-2C","$299,900","7","578","$570.93","1.10","Apartment/Condo"
