"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2031050","Residential Attached","S","1001 789 DRAKE STREET","Downtown VW","1991","Apartment/Condo","25","Vancouver West","Vancouver","5/2/2016","ROMEO","1","$943.93","2/2/2016","016-260-198",,"$188.94","3/16/2016","$311,000","$809.90","1.09","1","0","DD COM","$286,000","43","384","$809.90","1.09","Apartment/Condo"
"R2043855","Residential Detached","S","9530 YOUNG ROAD","Chilliwack N Yale-Well","1930","House/Single Family","86","Chilliwack","Chilliwack","8/31/2016","Lee-ann","1","$1,652.18","3/8/2016","005-047-285",,,"3/16/2016","$312,000","$237.26","0.96","1","3","RES3","$325,000","8","1,315","$237.26","0.96","House/Single Family"
"R2045668","Residential Detached","S","27415 WILLOW CALE FOREST ROAD","Buckhorn","1993","House with Acreage","23","PG Rural South (Zone 78)","Prince George","8/31/2016","TIM","3","$1,576.28","3/10/2016","012-527-181",,,"3/13/2016","$312,500","$116.91","0.98","3","5","CR1","$319,900","3","2,673","$116.91","0.98","House with Acreage"
"R2042927","Residential Attached","S","210 3733 NORFOLK STREET","Central BN","1994","Apartment/Condo","22","Burnaby North","Burnaby","5/31/2016","TOUCHBASE NINA","1","$1,684.32","3/7/2016","018-810-578",,"$249.17","3/13/2016","$317,000","$443.98","1.03","1","1","CD-RM3","$308,800","6","714","$443.98","1.03","Apartment/Condo"
"R2042283","Residential Attached","S","301 868 KINGSWAY","Fraser VE","1999","Apartment/Condo","17","Vancouver East","Vancouver","9/5/2016","Gina Rossi","1","$772.11","3/5/2016","024-613-452","4","$232.62","3/14/2016","$317,000","$549.39","1.06","1","1","C-2","$299,900","9","577","$549.39","1.06","Apartment/Condo"
"R2027871","Residential Attached","S","302 10160 RYAN ROAD","South Arm","1976","Apartment/Condo","40","Richmond","Richmond","4/30/2016","Touchbase","1","$1,102.17","1/25/2016","001-390-015","3","$387.13","3/15/2016","$317,000","$305.39","0.99","2","2","008","$319,999","50","1,038","$305.39","0.98","Apartment/Condo"
"R2041453","Residential Detached","S","21391 MALLARD DRIVE","Hope Kawkawa Lake","1991","House/Single Family","25","Hope","Hope","6/29/2016","ROB","2","$3,475.43","2/29/2016","001-875-442",,,"3/16/2016","$318,000","$189.29","0.99","3","2","RS-1","$320,000","16","1,680","$189.29","0.99","House/Single Family"
"R2028346","Residential Attached","S","404 11665 HANEY BYPASS","West Central","2007","Apartment/Condo","9","Maple Ridge","Maple Ridge","6/25/2016","TOUCHBASE","2","$2,326.17","1/25/2016","027-236-544","4","$381.06","3/15/2016","$318,500","$251.98","1.00","2","3","RES","$318,500","50","1,264","$251.98","0.98","Apartment/Condo"
"R2038104","Residential Attached","S","410 3082 DAYANEE SPRINGS BOULEVARD","Westwood Plateau","2010","Apartment/Condo","6","Coquitlam","Coquitlam","8/31/2016","SARAH","1","$1,836.22","2/23/2016","027-676-676",,"$208.85","3/13/2016","$318,888","$433.86","1.00","1","1","STRATA","$318,888","19","735","$433.86","1.00","Apartment/Condo"
"R2012049","Residential Attached","S","33 45615 TAMIHI WAY","Vedder S Watson-Promontory","2015","Townhouse","1","Sardis","Sardis","10/31/2016","Wendy Tyson","2","$0.00","10/27/2015","700-009-819",,"$135.13","3/16/2016","$319,900","$218.36","1.00","2","3","CD-10","$319,900","141","1,465","$218.36","1.00","Townhouse"
"R2040734","Residential Detached","S","9649 YOUNG ROAD","Chilliwack N Yale-Well","9999","House/Single Family","999","Chilliwack","Chilliwack","9/30/2016","Jim","1","$1,921.64","3/1/2016","012-311-561",,,"3/15/2016","$319,900","$171.80","0.98","2","2","R1-A","$324,900","14","1,862","$171.80","0.98","House/Single Family"
"R2043465","Residential Attached","S","28 12120 189A STREET","Central Meadows","1985","Townhouse","31","Pitt Meadows","Pitt Meadows","8/7/2016","JESSICA","1","$2,548.55","3/7/2016","001-947-915",,"$207.25","3/15/2016","$320,000","$262.94","1.03","2","3","RM2","$309,900","8","1,217","$262.94","1.03","Townhouse"
"R2044272","Residential Attached","S","218 7760 MOFFATT ROAD","Brighouse South","1988","Apartment/Condo","28","Richmond","Richmond","9/9/2016","WENDI NEUMAN","2","$1,114.60","3/9/2016","008-056-978","0","$278.32","3/13/2016","$320,000","$350.88","0.99","2","2","RAM1","$323,800","4","912","$350.88","0.99","Apartment/Condo"
"R2041956","Residential Attached","S","102 15388 101 AVENUE","Guildford","2008","Apartment/Condo","8","North Surrey","Surrey","6/30/2016","Jose Rodriguez","2","$1,632.94","3/2/2016","027-547-787","4","$237.09","3/13/2016","$320,000","$288.29","1.00","2","2","CONDO","$320,000","11","1,110","$288.29","1.00","Apartment/Condo"
"R2039871","Residential Detached","S","21034 RIVERVIEW DRIVE","Hope Kawkawa Lake","1981","House/Single Family","35","Hope","Hope","6/27/2016","ROB","2","$2,769.10","2/26/2016","003-596-265",,,"3/16/2016","$320,000","$164.78","0.98","3","4","RS-1","$325,000","19","1,942","$164.78","0.98","House/Single Family"
"R2047272","Residential Attached","S","49 12730 66 AVENUE","West Newton","2005","Townhouse","11","Surrey","Surrey","8/31/2016","Gurpreet Mann","2","$0.00","3/13/2016","029-541-816",,"$184.79","3/16/2016","$320,000","$228.25","0.97","3","3","MULTI","$330,000","3","1,402","$228.25","0.97","Townhouse"
"V1121905","Land Only","S","LOT 11 TWIN ISLE ROAD","Gibsons & Area",,,,"Sunshine Coast","Gibsons","4/30/2016","Grant Marshall",,"$1,642.00","5/7/2015","024-041-165",,,"3/13/2016","$320,000","$14.51","0.91",,,"R2","$349,900","310",,"$14.51","0.91","Other"
"R2042418","Residential Attached","S","65 20176 68TH AVENUE","Willoughby Heights","2003","Townhouse","13","Langley","Langley","9/7/2016","TOUCHBASE","2","$2,355.55","3/7/2016","025-556-193",,"$272.58","3/14/2016","$321,000","$276.72","1.07","2","2","CD-52","$299,000","7","1,160","$276.72","1.07","Townhouse"
"R2043990","Residential Attached","S","23 10051 155 STREET","Guildford","1992","Townhouse","24","North Surrey","Surrey","7/9/2016","BOBBY","2","$1,924.48","3/9/2016","017-764-599",,"$250.78","3/14/2016","$321,000","$243.18","1.02","2","3","MF","$314,999","5","1,320","$243.18","1.02","Townhouse"
"R2042994","Residential Attached","S","502 2689 KINGSWAY","Collingwood VE","2014","Apartment/Condo","2","Vancouver East","Vancouver","5/5/2016","OWEN ZHANG","1","$924.50","3/5/2016","029-430-801",,"$130.63","3/15/2016","$322,000","$637.62","1.01","1","1","CD","$320,000","10","505","$637.62","1.01","Apartment/Condo"
"V1068090","Residential Attached","S","408 5725 TEREDO STREET","Sechelt District","2014","Apartment/Condo","2","Sunshine Coast","Sechelt","4/30/2016","John McKenzie","2","$3,407.00","5/30/2014","029-286-042","6","$189.27","3/14/2016","$323,714","$357.70","0.90","2","2","CD30","$359,900","654","905","$357.70","0.85","Apartment/Condo"
"R2043514","Residential Attached","S","6 5837 SAPPERS WAY","Vedder S Watson-Promontory","2007","Townhouse","9","Sardis","Chilliwack","8/22/2016","Mike","3","$2,077.64","3/2/2016","026-992-604",,"$255.00","3/14/2016","$324,900","$162.94","1.00","3","3","R4","$324,900","12","1,994","$162.94","1.02","Townhouse"
"R2040477","Residential Attached","S","151 20875 80 AVENUE","Willoughby Heights","2007","Townhouse","9","Langley","Langley","7/1/2016","Jamie or Cory","2","$2,532.46","3/4/2016","027-377-601",,"$199.00","3/13/2016","$325,000","$262.52","0.99","2","2","CD52","$329,000","9","1,238","$262.52","0.99","Townhouse"
"R2044254","Residential Attached","S","209 2468 ATKINS AVENUE","Central Pt Coquitlam","2006","Apartment/Condo","10","Port Coquitlam","Port Coquitlam","8/31/2016","LIZ","2","$1,457.77","3/9/2016","026-725-916","4","$239.29","3/13/2016","$325,750","$348.40","1.02","2","2","RM4","$319,900","4","935","$348.40","1.02","Apartment/Condo"
"R2041935","Residential Attached","S","6 15175 62A AVENUE","Sullivan Station","2006","Townhouse","10","Surrey","Surrey","9/7/2016","TOUCHBASE","2","$1,919.36","3/7/2016","026-548-224",,"$230.00","3/13/2016","$326,000","$262.48","1.00","2","2","RES","$325,000","6","1,242","$262.48","1.00","Townhouse"
"R2043548","Residential Attached","S","115 14833 61 AVENUE","Sullivan Station","2013","Townhouse","3","Surrey","Surrey","5/16/2016","Dal Milin","1","$1,979.00","3/1/2016","029-104-416",,"$190.00","3/15/2016","$326,000","$283.48","1.00","2","2","MF","$324,900","14","1,150","$283.48","1.00","Townhouse"
"R2042212","Residential Attached","S","211 2008 E 54TH AVENUE","Fraserview VE","2012","Apartment/Condo","4","Vancouver East","Vancouver","9/30/2016","EVA LEE","1","$1,074.74","3/3/2016","028-849-256","4","$282.84","3/15/2016","$326,000","$501.54","1.19","1","1","RES","$275,000","12","650","$501.54","1.19","Apartment/Condo"
"R2032938","Residential Attached","S","33 3270 BLUE JAY STREET","Abbotsford West","2000","Townhouse","16","Abbotsford","Abbotsford","8/31/2016","Param Brar","2","$2,259.99","2/9/2016","024-804-819",,"$260.70","3/13/2016","$328,000","$214.38","0.97","3","3","R-1B","$339,000","33","1,530","$214.38","0.97","Townhouse"
"R2043678","Residential Detached","S","2662 VANCE ROAD","Peden Hill","2006","House/Single Family","10","PG City West (Zone 71)","Prince George","9/18/2016","GERALD AVERY","2","$3,653.90","3/7/2016","024-335-878",,,"3/13/2016","$329,000","$136.18","0.97","2","5","RS2","$337,500","6","2,416","$136.18","0.97","House/Single Family"
"R2018932","Residential Attached","S","31 11255 132 STREET","Bridgeview","2008","Townhouse","8","North Surrey","Surrey","4/30/2016","Palwinder Singh","2","$1,857.07","12/4/2015","027-338-746",,"$232.41","3/14/2016","$329,800","$229.67","1.00","3","3","CD","$329,800","101","1,436","$229.67","1.00","Townhouse"
"R2044601","Residential Attached","S","1201 7108 COLLIER STREET","Highgate","2006","Apartment/Condo","10","Burnaby South","Burnaby","6/30/2016","HENRY","1","$1,913.10","3/10/2016","026-621-240",,"$159.47","3/13/2016","$330,000","$533.98","1.03","1","1","CONDO","$319,900","3","618","$533.98","1.03","Apartment/Condo"
"R2026020","Residential Attached","S","1001 6759 WILLINGDON AVENUE","Metrotown","1978","Apartment/Condo","38","Burnaby South","Burnaby","4/30/2016","SOLD","1","$1,102.23","1/18/2016","001-435-752","14","$362.44","3/14/2016","$330,000","$365.45","0.97","2","2","CD","$339,900","56","903","$365.45","0.97","Apartment/Condo"
"R2040249","Residential Attached","S","208 15270 17 AVENUE","King George Corridor","1987","Apartment/Condo","29","South Surrey White Rock","Surrey","6/23/2016","Anita","2","$1,682.32","2/29/2016","002-139-197","3","$392.06","3/15/2016","$331,000","$249.81","0.99","2","2","MF","$335,000","15","1,325","$249.81","0.99","Apartment/Condo"
"R2042359","Residential Attached","S","116 20875 80 AVENUE","Willoughby Heights","2007","Townhouse","9","Langley","Langley","6/30/2016","RICK WOO","2","$2,578.11","3/2/2016","027-377-253",,"$186.25","3/13/2016","$333,000","$262.83","1.04","2","2","MF","$319,900","11","1,267","$262.83","1.04","Townhouse"
"R2044486","Residential Attached","S","16 9163 FLEETWOOD WAY","Fleetwood Tynehead","1990","Townhouse","26","Surrey","Surrey","8/31/2016","Stan Wong","2","$1,394.05","3/11/2016","016-101-367","2","$239.21","3/14/2016","$333,000","$267.47","1.04","2","2","MF","$319,900","3","1,245","$267.47","1.04","Townhouse"
"R2044884","Residential Detached","S","45398 PARK DRIVE","Chilliwack W Young-Well","1946","House/Single Family","70","Chilliwack","Chilliwack","6/15/2016","Crystal or Jen","1","$3,000.00","3/11/2016","011-359-439",,,"3/14/2016","$333,000","$203.55","1.11","1","4","R1A","$300,000","3","1,636","$203.55","1.11","House/Single Family"
"R2043086","Residential Attached","S","83 18983 72A AVENUE","Clayton","2007","Townhouse","9","Cloverdale","Surrey","3/9/2017","Bree","2","$1,844.81","3/9/2016","027-135-225",,"$182.77","3/14/2016","$335,000","$282.46","1.02","2","2","MF","$328,800","5","1,186","$282.46","1.02","Townhouse"
"R2035828","Residential Attached","S","107 12233 92 AVENUE","Queen Mary Park Surrey","1987","Townhouse","29","Surrey","Surrey","4/30/2016","Faisal, phone or text","2","$1,771.48","2/16/2016","011-351-411",,"$342.55","3/13/2016","$335,000","$184.67","0.99","3","3","RSD15","$339,900","26","1,814","$184.67","0.99","Townhouse"
"R2035676","Residential Attached","S","209 6669 TELFORD AVENUE","Metrotown","1976","Apartment/Condo","40","Burnaby South","Burnaby","2/15/2017","Don Xue(TEXT OK)","1","$1,805.61","2/15/2016","001-346-008","21","$337.28","3/15/2016","$335,000","$341.49","0.99","2","2","RM3","$338,000","29","981","$341.49","1.06","Apartment/Condo"
"R2040596","Residential Attached","S","712 8972 FLEETWOOD WAY","Fleetwood Tynehead","1994","Townhouse","22","Surrey","Surrey","5/31/2016","francesca","2","$1,624.08","2/28/2016","018-532-837","2","$360.00","3/16/2016","$335,000","$224.83","0.99","2","3","MF","$339,000","0","1,490","$224.83","0.99","Townhouse"
"F1440549","Land Only","S","LT.5 BARR STREET","Mission BC",,,,"Mission","Mission","11/30/2016","JAG",,"$0.00","5/6/2015","900-574-795",,,"3/15/2016","$335,000",,"0.96",,,"RR7","$349,900","310",,,"0.96","House/Single Family"
"F1440551","Land Only","S","LT. 6 BARR STREET","Mission BC",,,,"Mission","Mission","11/30/2016","JAG",,"$0.00","5/6/2015","900-574-796",,,"3/15/2016","$335,000",,"0.96",,,"RR7","$349,900","310",,,"0.96","House/Single Family"
"R2023846","Residential Attached","S","38 46570 MACKEN AVENUE","Chilliwack N Yale-Well","2015","Townhouse","1","Chilliwack","Chilliwack","12/31/2016","JOEL","2","$0.00","1/5/2016","700-009-893",,"$168.00","3/16/2016","$335,673","$170.57","1.02","4","3","R4","$329,900","71","1,968","$170.57","1.05","Townhouse"
"R2043530","Residential Attached","S","21 18983 72A AVENUE","Clayton","2007","Townhouse","9","Cloverdale","Surrey","10/1/2016","Jonathan Silveira","2","$1,844.81","3/7/2016","027-018-911",,"$182.77","3/14/2016","$337,250","$277.57","1.06","2","2","RM 30","$319,500","7","1,215","$277.57","1.06","Townhouse"
"R2014564","Residential Attached","S","608 7788 ACKROYD ROAD","Brighouse","2015","Apartment/Condo","1","Richmond","Richmond","6/30/2016","TERRY HUANG","1","$377.96","11/10/2015","029-681-413",,"$188.71","3/16/2016","$338,000","$647.51","0.97","1","1","APT","$348,000","127","522","$647.51","0.97","Apartment/Condo"
"R2041469","Residential Attached","S","305 1211 VILLAGE GREEN WAY","Downtown SQ","2009","Apartment/Condo","7","Squamish","Squamish","9/30/2016","CANDICE DYER","1","$1,597.02","3/2/2016","027-877-493","6","$249.14","3/14/2016","$338,000","$540.80","1.00","1","1","MF","$338,000","12","625","$540.80","1.00","Apartment/Condo"
"R2041814","Land Only","S","Lot 3 SECHELT INLET ROAD","Sechelt District",,,,"Sunshine Coast","Sechelt","3/4/2017","Gina",,"$2,587.45","3/4/2016","010-602-160",,,"3/16/2016","$339,000","$18.27","0.97",,,"R1","$349,000","12",,"$18.27","0.97","Other"
"R2002979","Residential Attached","S","128 13321 102A AVENUE","Whalley","2009","Townhouse","7","North Surrey","Surrey","6/30/2016","Greg","1","$2,034.00","9/21/2015","027-847-501",,"$349.00","3/14/2016","$340,000","$289.61","1.00","2","2","CD","$338,800","175","1,174","$289.61","1.00","Townhouse"
"R2043577","Residential Attached","S","107 1515 E 5TH AVENUE","Grandview VE","1974","Apartment/Condo","42","Vancouver East","Vancouver","8/27/2016","ANDREA","1","$855.21","3/8/2016","003-772-187","3","$255.36","3/14/2016","$340,000","$510.51","1.05","1","1","RM-4","$325,000","6","666","$510.51","1.05","Apartment/Condo"
"R2033819","Residential Attached","S","322 13321 102A AVENUE","Whalley","2009","Apartment/Condo","7","North Surrey","Surrey","5/11/2016","Mike Marfori","2","$1,950.27","2/11/2016","027-848-019",,"$353.00","3/14/2016","$340,100","$314.91","1.00","2","2","MF","$339,800","32","1,080","$314.91","1.00","Apartment/Condo"
"R2034200","Residential Attached","S","107 7188 ROYAL OAK AVENUE","Metrotown","1994","Apartment/Condo","22","Burnaby South","Burnaby","5/15/2016","RAYMOND LEE","1","$1,887.38","2/11/2016","018-449-051",,"$329.70","3/15/2016","$341,000","$409.36","0.98","1","2","STRATA","$348,000","33","833","$409.36","0.98","Apartment/Condo"
"R2044716","Residential Detached","S","46739 FIRST AVENUE","Chilliwack E Young-Yale","1903","House/Single Family","113","Chilliwack","Chilliwack","6/30/2016","Kurt Gieselman","2","$1,827.00","3/10/2016","006-713-696",,,"3/13/2016","$342,500","$273.13","0.98","2","2","R1A","$349,900","3","1,254","$273.13","0.98","House/Single Family"
"R2045037","Residential Detached","S","5573 CAMDEN STREET","Vedder S Watson-Promontory","2014","House/Single Family","2","Sardis","Chilliwack","7/6/2016","TRACEY","2","$1,584.00","3/6/2016","903-018-755",,"$127.00","3/13/2016","$344,900","$269.03","1.00","2","2","RSV3","$344,900","7","1,282","$269.03","1.00","House/Single Family"
"R2038903","Residential Attached","S","305 7339 MACPHERSON AVENUE","Metrotown","2008","Apartment/Condo","8","Burnaby South","Burnaby","8/22/2016","Stella","1","$1,997.91","2/22/2016","027-669-483",,"$208.63","3/13/2016","$345,000","$476.52","0.99","1","1","APT","$349,000","20","724","$476.52","0.99","Apartment/Condo"
"R2032211","Residential Attached","S","203 4833 BRENTWOOD DRIVE","Brentwood Park","2008","Apartment/Condo","8","Burnaby North","Burnaby","8/31/2016","TEXT ELIZABETH","1","$2,066.84","2/5/2016","027-355-772",,"$235.40","3/13/2016","$345,000","$478.50","0.99","1","1","APT","$349,000","37","721","$478.50","0.99","Apartment/Condo"
"R2034302","Residential Attached","S","1509 2008 ROSSER AVENUE","Brentwood Park","2016","Apartment/Condo","0","Burnaby North","Burnaby","4/30/2016","Becky Rannala","1","$0.00","2/12/2016","025-213-385","45","$206.40","3/14/2016","$347,500","$722.45","0.94","1","1","CD","$369,900","31","481","$722.45","0.90","Apartment/Condo"
"R2022910","Residential Detached","S","6552 BJORN PLACE","Sechelt District","1990","House/Single Family","26","Sunshine Coast","Sechelt","7/5/2016","TERRY, PAM OR RICK","2","$2,928.91","1/5/2016","007-080-590",,,"3/16/2016","$348,000","$234.82","0.98","2","3","R3","$355,000","71","1,482","$234.82","0.98","House/Single Family"
"R2041574","Residential Attached","S","207 2393 RANGER LANE","Riverwood","2017","Apartment/Condo","0","Port Coquitlam","Port Coquitlam","5/30/2016","FREMONT EMERALD TEAM","2","$0.00","2/29/2016","800-103-381","4","$296.01","3/14/2016","$349,900","$390.08","1.00","2","2","RA1","$349,900","14","897","$390.08","1.00","Apartment/Condo"
"R2042038","Residential Attached","S","207 16483 64 AVENUE","Cloverdale BC","2007","Apartment/Condo","9","Cloverdale","Surrey","7/8/2016","Madeleine","2","$1,812.33","3/8/2016","027-243-354","3","$376.82","3/15/2016","$349,900","$276.82","1.00","2","2","CDZ","$349,900","7","1,264","$276.82","1.00","Apartment/Condo"
"R2042650","Residential Attached","S","205 125 W 18TH STREET","Central Lonsdale","1988","Apartment/Condo","28","North Vancouver","North Vancouver","10/10/2016","FARIBA","1","$1,387.58","3/7/2016","010-347-585","3","$335.71","3/15/2016","$350,000","$492.96","1.05","1","1","APT","$333,000","8","710","$492.96","1.05","Apartment/Condo"
"R2024672","Residential Attached","S","20 15353 100TH AVENUE","Guildford","2005","Townhouse","11","North Surrey","Surrey","12/31/2016","Jay Sidhu","2","$1,689.31","1/12/2016","026-445-433",,"$345.91","3/14/2016","$350,000","$266.57","0.92","3","3","CD","$379,800","62","1,313","$266.57","0.88","Townhouse"
"R2030212","Residential Attached","S","403 1333 HORNBY STREET","Downtown VW","1979","Apartment/Condo","37","Vancouver West","Vancouver","2/1/2017","NATA","1","$350.00","2/1/2016","006-357-121",,"$218.37","3/16/2016","$352,000","$763.56","1.01","1","1","RES","$349,000","44","461","$763.56","0.96","Apartment/Condo"
"R2030041","Residential Attached","S","112 8220 JONES ROAD","Brighouse South","1994","Apartment/Condo","22","Richmond","Richmond","8/1/2016","HARRY CAI","2","$1,369.58","2/1/2016","018-609-422",,"$341.81","3/15/2016","$352,000","$373.67","0.96","2","2","RAM1","$368,000","43","942","$373.67","0.96","Apartment/Condo"
"R2042581","Residential Attached","S","42 19159 WATKINS DRIVE","Clayton","2015","Townhouse","1","Cloverdale","Surrey","7/30/2016","Matt","2","$0.00","3/7/2016","029-538-688",,"$200.00","3/13/2016","$352,500","$290.84","1.01","3","2","MF","$349,800","6","1,212","$290.84","1.01","Townhouse"
"R2044667","Residential Detached","S","46546 ROLINDE CRESCENT","Chilliwack E Young-Yale","1976","House/Single Family","40","Chilliwack","Chilliwack","6/10/2016","Karen","1","$2,042.53","3/11/2016","002-317-371",,,"3/14/2016","$353,000","$190.81","1.09","2","3","R1A","$325,000","3","1,850","$190.81","1.09","House/Single Family"
"R2041046","Residential Attached","S","222 10180 153 STREET","Guildford","2007","Apartment/Condo","9","North Surrey","Surrey","5/30/2016","Omid","2","$1,686.22","2/29/2016","026-981-726",,"$299.00","3/13/2016","$355,000","$286.29","1.01","2","3","MF","$349,999","13","1,240","$286.29","1.01","Apartment/Condo"
"R2045559","Residential Attached","S","602 121 BREW STREET","Port Moody Centre","2009","Apartment/Condo","7","Port Moody","Port Moody","6/14/2016","TOUCHBASE","1","$1,507.10","3/14/2016","027-706-974",,"$237.33","3/14/2016","$355,000","$607.88","1.05","1","1","STRATA","$339,000","0","584","$607.88","1.05","Apartment/Condo"
"R2039056","Residential Attached","S","109 2050 LAKE PLACID ROAD","Whistler Creek","1989","Apartment/Condo","27","Whistler","Whistler","9/30/2016","LYNNE/TRACEY","1","$1,872.98","2/23/2016","013-797-433",,"$385.02","3/15/2016","$357,000","$646.74","1.00","1","1","RTA-13","$357,000","21","552","$646.74","1.00","Apartment/Condo"
"R2045405","Residential Attached","S","312 3050 DAYANEE SPRINGS BL BOULEVARD","Westwood Plateau","2010","Apartment/Condo","6","Coquitlam","Coquitlam","6/15/2016","BRIAN KIM","2","$1,995.27","3/13/2016","028-423-852",,"$245.00","3/15/2016","$357,500","$415.21","1.00","2","2","MF","$359,000","2","861","$415.21","1.00","Apartment/Condo"
"R2045580","Residential Attached","S","4 19034 MCMYN ROAD","Mid Meadows","1994","Townhouse","22","Pitt Meadows","Pitt Meadows","9/14/2016","AMANDA OR TOUCHBASE","2","$2,768.82","3/14/2016","018-582-044",,"$276.00","3/16/2016","$360,000","$254.60","1.06","3","3","RM-2","$339,900","2","1,414","$254.60","1.06","Townhouse"
"R2045752","Residential Attached","S","205 4353 HALIFAX STREET","Brentwood Park","1983","Apartment/Condo","33","Burnaby North","Burnaby","8/14/2016","ART","1","$1,866.22","3/14/2016","002-204-185",,"$306.84","3/16/2016","$360,000","$382.98","1.06","1","2","CD","$339,900","2","940","$382.98","1.06","Apartment/Condo"
"R2045680","Residential Attached","S","216 121 W 29TH STREET","Upper Lonsdale","1994","Apartment/Condo","22","North Vancouver","North Vancouver","3/13/2017","604-649-2036","1","$1,377.92","3/14/2016","007-624-077","4","$314.19","3/15/2016","$360,000","$461.54","0.96","1","1","APT","$374,800","1","780","$461.54","0.96","Apartment/Condo"
"R2044941","Residential Attached","S","422 40437 TANTALUS ROAD","Garibaldi Estates","2006","Apartment/Condo","10","Squamish","Squamish","5/11/2016","STEVE DEWOLF","1","$1,642.70","3/11/2016","026-578-921","4","$224.08","3/16/2016","$361,600","$395.19","1.04","1","2","RM2","$349,000","5","915","$395.19","1.04","Apartment/Condo"
"R2042086","Residential Attached","S","20 13670 62 AVENUE","Sullivan Station","2017","Townhouse","0","Surrey","Surrey","3/13/2017","Sheela","3","$0.00","3/1/2016","900-578-255",,"$176.00","3/13/2016","$362,309","$231.51","0.98","4","4","MR","$369,586","12","1,565","$231.51","0.98","Townhouse"
"R2026909","Residential Attached","S","228 19673 MEADOW GARDENS WAY","North Meadows PI","2007","Apartment/Condo","9","Pitt Meadows","Pitt Meadows","4/17/2016","BRENDA CHENG","2","$2,452.00","1/18/2016","027-118-274","4","$330.00","3/14/2016","$362,639","$313.16","1.08","2","2","MULTI","$336,900","56","1,158","$313.16","1.08","Apartment/Condo"
"R2045746","Residential Detached","S","12 47042 MACFARLANE PLACE","Promontory","2016","House/Single Family","0","Sardis","Chilliwack","12/31/2016","JOHN","2","$0.00","3/14/2016","700-009-996",,"$83.45","3/14/2016","$366,457","$99.61","1.00","3","3","R3-B","$365,900","0","3,679","$99.61","1.00","House/Single Family"
"R2042091","Residential Attached","S","21 13670 62 AVENUE","Sullivan Station","2017","Townhouse","0","Surrey","Surrey","3/13/2017","Sheela","3","$0.00","3/1/2016","900-578-256",,"$176.00","3/13/2016","$366,801","$234.38","0.99","4","4","MR","$369,586","12","1,565","$234.38","0.99","Townhouse"
"R2041854","Residential Attached","S","7 7321 MONTECITO DRIVE","Montecito","1973","Townhouse","43","Burnaby North","Burnaby","6/30/2016","Russell or Touchbase","1","$1,981.72","3/4/2016","001-136-283","3","$311.00","3/16/2016","$367,000","$293.60","1.00","2","2","CD","$368,100","12","1,250","$293.60","1.00","Townhouse"
"R2043239","Residential Attached","S","105 985 JERVIS STREET","West End VW","1948","Apartment/Condo","68","Vancouver West","Vancouver","6/8/2016","KARIN","1","$903.00","3/8/2016","800-059-837",,"$299.00","3/13/2016","$368,000","$498.64","1.00","1","1","APT","$368,000","5","738","$498.64","1.00","Apartment/Condo"
"R2042780","Residential Attached","S","307 2222 PRINCE EDWARD STREET","Mount Pleasant VE","1981","Apartment/Condo","35","Vancouver East","Vancouver","6/7/2016","NORM","1","$1,025.96","3/7/2016","006-238-190","4","$264.34","3/14/2016","$369,900","$540.00","1.00","1","1","RM-4","$369,000","7","685","$540.00","1.00","Apartment/Condo"
"R2035534","Land Only","S","3340 DESCARTES PLACE","University Highlands",,,,"Squamish","Squamish","4/30/2016","ANDREW LAURIE",,"$1,842.49","2/11/2016","026-923-815",,,"3/13/2016","$370,000","$45.38","1.00",,,"UH 1","$370,000","31",,"$45.38","1.06","Other"
"R2035555","Land Only","S","3350 DESCARTES PLACE","Garibaldi Highlands",,,,"Squamish","Squamish","4/30/2016","ANDREW LAURIE",,"$1,813.95","2/11/2016","026-923-807",,,"3/15/2016","$370,000","$39.24","1.00",,,"UH 1","$370,000","33",,"$39.24","1.06","Other"
"R2044872","Residential Attached","S","5 19480 66 AVENUE","Clayton","2008","Townhouse","8","Cloverdale","Surrey","8/31/2016","TOUCHBASE","2","$2,059.14","3/9/2016","027-321-860","3","$166.80","3/15/2016","$370,500","$252.21","1.04","3","3","MR30","$355,000","6","1,469","$252.21","1.04","Townhouse"
"R2042273","Residential Attached","S","410 6475 CHESTER STREET","Fraser VE","1994","Apartment/Condo","22","Vancouver East","Vancouver","9/3/2016","Ernie","1","$947.46","3/4/2016","023-058-277",,"$259.97","3/16/2016","$370,500","$503.40","1.06","1","1","C2","$348,000","12","736","$503.40","1.06","Apartment/Condo"
"R2044574","Residential Attached","S","604 121 BREW STREET","Port Moody Centre","2008","Apartment/Condo","8","Port Moody","Port Moody","6/15/2016","CANDACE","1","$1,630.82","3/9/2016","027-706-991","7","$268.09","3/13/2016","$372,000","$565.35","1.01","1","1","APT","$369,900","4","658","$565.35","1.01","Apartment/Condo"
