"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2043337","Residential Attached","S","28 1160 INLET STREET","New Horizons","1987","Townhouse","29","Coquitlam","Port Coquitlam","7/31/2016","Cory or Jamie","2","$2,050.39","3/10/2016","008-290-792","2","$255.00","3/18/2016","$338,000","$253.75","0.98","2","2","RM 1","$345,000","8","1,332","$253.75","0.98","Townhouse"
"R2014564","Residential Attached","S","608 7788 ACKROYD ROAD","Brighouse","2015","Apartment/Condo","1","Richmond","Richmond","6/30/2016","TERRY HUANG","1","$377.96","11/10/2015","029-681-413",,"$188.71","3/16/2016","$338,000","$647.51","0.97","1","1","APT","$348,000","127","522","$647.51","0.97","Apartment/Condo"
"R2046811","Residential Attached","S","414 2970 KING GEORGE BOULEVARD","Elgin Chantrell","2009","Apartment/Condo","7","South Surrey White Rock","Surrey","9/10/2016","Carole Ball","2","$1,659.67","3/10/2016","028-032-225",,"$313.34","3/19/2016","$339,000","$383.92","1.00","2","2","CD","$339,000","9","883","$383.92","1.00","Apartment/Condo"
"R2041814","Land Only","S","Lot 3 SECHELT INLET ROAD","Sechelt District",,,,"Sunshine Coast","Sechelt","3/4/2017","Gina",,"$2,587.45","3/4/2016","010-602-160",,,"3/16/2016","$339,000","$18.27","0.97",,,"R1","$349,000","12",,"$18.27","0.97","Other"
"R2046218","Residential Attached","S","311 15168 33 AVENUE","Morgan Creek","2016","Apartment/Condo","0","South Surrey White Rock","Surrey","6/8/2016","Judy Rohatyn","2","$0.00","3/13/2016","900-578-432","4","$301.54","3/19/2016","$339,900","$371.48","1.00","2","2","CD","$339,900","6","915","$371.48","1.00","Apartment/Condo"
"R2039104","Residential Attached","S","319 15385 101A AVENUE","Guildford","2006","Apartment/Condo","10","North Surrey","Surrey","5/31/2016","Howie Truong","2","$1,752.86","2/19/2016","026-740-427","4","$315.27","3/18/2016","$345,000","$267.23","1.02","2","3","MF","$339,900","28","1,291","$267.23","1.02","Apartment/Condo"
"R2042930","Residential Attached","S","304 8611 GENERAL CURRIE ROAD","Brighouse South","1989","Apartment/Condo","27","Richmond","Richmond","6/30/2016","MICHAEL LEPORE","2","$1,241.93","3/7/2016","014-754-312","3","$348.90","3/17/2016","$345,000","$360.88","0.96","2","2","RAM 1","$358,800","9","956","$360.88","0.96","Apartment/Condo"
"R2045553","Residential Attached","S","43 18777 68A AVENUE","Clayton","2008","Townhouse","8","Cloverdale","Surrey","6/30/2016","Melissa Carr","2","$1,933.36","3/14/2016","027-639-894",,"$130.20","3/19/2016","$347,000","$291.84","1.02","2","2","RES","$339,900","5","1,189","$291.84","1.02","Townhouse"
"R2043254","Residential Attached","S","1909 7178 COLLIER STREET","Highgate","2005","Apartment/Condo","11","Burnaby South","Burnaby","10/21/2016","FARIBA","1","$1,985.67","3/7/2016","026-391-325",,"$200.00","3/17/2016","$348,000","$548.90","1.00","1","1","RES","$349,000","10","634","$548.90","1.00","Apartment/Condo"
"R2022910","Residential Detached","S","6552 BJORN PLACE","Sechelt District","1990","House/Single Family","26","Sunshine Coast","Sechelt","7/5/2016","TERRY, PAM OR RICK","2","$2,928.91","1/5/2016","007-080-590",,,"3/16/2016","$348,000","$234.82","0.98","2","3","R3","$355,000","71","1,482","$234.82","0.98","House/Single Family"
"R2035319","Residential Attached","S","307 9388 TOMICKI AVENUE","West Cambie","2017","Apartment/Condo","0","Richmond","Richmond","5/11/2016","LILY LIU","1",,"2/11/2016","800-102-809","6","$252.18","3/18/2016","$349,900","$555.40","1.00","1","1","ZLR25","$349,900","36","630","$555.40","1.00","Apartment/Condo"
"R2045704","Residential Detached","S","7285 PRASMOUNT PLACE","Agassiz","1997","House/Single Family","19","Agassiz","Agassiz","9/30/2016","Deborah Vale","2","$2,379.03","3/14/2016","002-137-780",,,"3/18/2016","$350,000","$218.07","1.03","2","3","RS1","$338,900","4","1,605","$218.07","1.03","House/Single Family"
"R2045251","Residential Attached","S","404 4941 LOUGHEED HIGHWAY","Brentwood Park","1979","Apartment/Condo","37","Burnaby North","Burnaby","3/14/2017","JULIE","1","$1,891.25","3/14/2016","000-920-665",,"$285.46","3/19/2016","$350,000","$338.49","1.03","1","2","APT","$339,000","5","1,034","$338.49","1.03","Apartment/Condo"
"R2030212","Residential Attached","S","403 1333 HORNBY STREET","Downtown VW","1979","Apartment/Condo","37","Vancouver West","Vancouver","2/1/2017","NATA","1","$350.00","2/1/2016","006-357-121",,"$218.37","3/16/2016","$352,000","$763.56","1.01","1","1","RES","$349,000","44","461","$763.56","0.96","Apartment/Condo"
"R2013823","Residential Attached","S","1907 301 CAPILANO ROAD","Port Moody Centre","2013","Apartment/Condo","3","Port Moody","Port Moody","6/30/2016","MEGGY","1","$1,822.02","11/6/2015","029-065-135",,"$157.74","3/19/2016","$352,000","$541.54","0.96","1","1","RES","$368,000","134","650","$541.54","0.96","Apartment/Condo"
"R2047123","Residential Detached","S","111 1299 N OSPIKA BOULEVARD","Highland Park","2005","House/Single Family","11","PG City West (Zone 71)","Prince George","6/15/2016","TEXT PAT 250-565-5080","2","$3,903.47","3/15/2016","025-989-103",,"$80.00","3/20/2016","$352,000","$125.36","0.99","3","3","RT3","$354,900","5","2,808","$125.36","0.99","House/Single Family"
"R2022777","Residential Attached","S","201 1153 54A STREET","Tsawwassen Central","1992","Apartment/Condo","24","Tsawwassen","Delta","7/6/2016","AMBER","2","$1,905.00","1/6/2016","017-825-636",,"$402.75","3/17/2016","$355,000","$291.46","0.96","2","2","RM6A","$369,900","71","1,218","$291.46","0.96","Apartment/Condo"
"R2039770","Residential Attached","S","102 7465 SANDBORNE AVENUE","South Slope","1991","Apartment/Condo","25","Burnaby South","Burnaby","8/22/2016","JOSEPH WONG","2","$2,031.58","2/29/2016","016-678-630",,"$402.95","3/20/2016","$355,000","$334.91","0.99","2","2","CONDO","$358,500","20","1,060","$334.91","0.99","Apartment/Condo"
"R2044323","Residential Attached","S","1806 3970 CARRIGAN COURT","Government Road","1986","Apartment/Condo","30","Burnaby North","Vancouver","6/14/2016","Teresa Comeau","1","$1,850.01","3/10/2016","003-257-444",,"$280.63","3/19/2016","$355,000","$391.83","0.99","2","2","APT","$359,000","9","906","$391.83","0.99","Apartment/Condo"
"R2038997","Residential Detached","S","2073 DUNN PLACE","Agassiz","2004","House/Single Family","12","Agassiz","Agassiz","8/24/2016","Joanne Smith","3","$2,180.76","2/24/2016","025-820-028",,,"3/17/2016","$357,000","$160.81","0.99","3","4","RS1","$359,900","22","2,220","$160.81","0.99","House/Single Family"
"R2043588","Residential Attached","S","1703 6838 STATION HILL DRIVE","South Slope","1996","Apartment/Condo","20","Burnaby South","Burnaby","6/6/2016","PAUL TOFFOLI","1","$2,056.11","3/7/2016","023-425-750",,"$309.00","3/18/2016","$358,000","$445.83","1.00","1","1","MULTI","$359,000","1","803","$445.83","1.00","Apartment/Condo"
"R2045752","Residential Attached","S","205 4353 HALIFAX STREET","Brentwood Park","1983","Apartment/Condo","33","Burnaby North","Burnaby","8/14/2016","ART","1","$1,866.22","3/14/2016","002-204-185",,"$306.84","3/16/2016","$360,000","$382.98","1.06","1","2","CD","$339,900","2","940","$382.98","1.06","Apartment/Condo"
"R2042498","Residential Attached","S","209 10308 155A STREET","Guildford","1991","Townhouse","25","North Surrey","Surrey","9/30/2016","RENE","2","$1,712.62","3/2/2016","015-919-081",,"$258.62","3/17/2016","$360,000","$206.90","1.00","2","3","MF","$359,800","15","1,740","$206.90","1.00","Townhouse"
"R2041185","Residential Attached","S","904 1212 HOWE STREET","Downtown VW","2008","Apartment/Condo","8","Vancouver West","Vancouver","5/30/2016","CHRISTINE","1","$1,046.46","2/29/2016","012-145-203",,"$179.17","3/20/2016","$360,000","$888.89","0.98","1","1","DD","$369,000","20","405","$888.89","0.98","Apartment/Condo"
"R2043091","Residential Attached","S","1007 6951 ELMBRIDGE WAY","Brighouse","2014","Apartment/Condo","2","Richmond","Richmond","6/30/2016","Jasmine Zhu","1","$1,403.10","3/7/2016","029-230-942","12","$195.60","3/18/2016","$360,000","$644.01","0.98","1","1","MF","$369,000","11","559","$644.01","0.98","Apartment/Condo"
"R2044824","Residential Attached","S","360 8328 207A STREET","Willoughby Heights","2012","Apartment/Condo","4","Langley","Langley","9/30/2016","Blondie/Rita","2","$1,970.00","3/7/2016","028-906-926","4","$190.00","3/18/2016","$360,000","$296.78","0.99","2","2","CD-75","$364,900","11","1,213","$296.78","0.99","Apartment/Condo"
"R2046449","Residential Attached","S","105 68 RICHMOND STREET","Fraserview NW","1993","Apartment/Condo","23","New Westminster","New Westminster","7/30/2016","ROLAND","2","$1,577.05","3/14/2016","018-040-977",,"$350.39","3/17/2016","$360,000","$354.68","0.98","2","2","MULTI","$369,000","3","1,015","$354.68","0.98","Apartment/Condo"
"R2038634","Residential Attached","S","221 4889 53 STREET","Hawthorne","1989","Apartment/Condo","27","Ladner","Delta","10/31/2016","MEI LIN","2","$1,662.92","2/24/2016","008-628-548",,"$256.68","3/18/2016","$360,000","$320.28","0.99","2","2","CD103","$363,600","23","1,124","$320.28","0.99","Apartment/Condo"
"R2045580","Residential Attached","S","4 19034 MCMYN ROAD","Mid Meadows","1994","Townhouse","22","Pitt Meadows","Pitt Meadows","9/14/2016","AMANDA OR TOUCHBASE","2","$2,768.82","3/14/2016","018-582-044",,"$276.00","3/16/2016","$360,000","$254.60","1.06","3","3","RM-2","$339,900","2","1,414","$254.60","1.06","Townhouse"
"R2044941","Residential Attached","S","422 40437 TANTALUS ROAD","Garibaldi Estates","2006","Apartment/Condo","10","Squamish","Squamish","5/11/2016","STEVE DEWOLF","1","$1,642.70","3/11/2016","026-578-921","4","$224.08","3/16/2016","$361,600","$395.19","1.04","1","2","RM2","$349,000","5","915","$395.19","1.04","Apartment/Condo"
"R2044782","Residential Attached","S","409 1331 ALBERNI STREET","West End VW","1999","Apartment/Condo","17","Vancouver West","Vancouver","12/30/2016","Caylee Mon-Fri","1","$887.37","3/11/2016","024-552-976",,"$200.52","3/19/2016","$363,000","$907.50","1.01","1","0","CD-1","$359,900","8","400","$907.50","1.01","Apartment/Condo"
"R2042002","Residential Detached","S","46548 DARLENE AVENUE","Chilliwack E Young-Yale","1981","House/Single Family","35","Chilliwack","Chilliwack","2/18/2017","CLAYTON OR TOUCHBASE","2","$2,106.16","3/4/2016","000-642-134",,,"3/18/2016","$364,000","$184.77","1.00","2","5","R1A","$364,900","14","1,970","$184.77","1.00","House/Single Family"
"R2046422","Residential Attached","S","36 7238 189 STREET","Clayton","2009","Townhouse","7","Cloverdale","Surrey","8/16/2016","touchbase / Dennis","3","$1,869.36","3/16/2016","027-777-162","3","$204.44","3/19/2016","$365,000","$259.79","1.01","3","2","CD","$359,800","3","1,405","$259.79","1.01","Townhouse"
"R2045035","Residential Attached","S","101 3004 ST. GEORGE STREET","Port Moody Centre","1975","Apartment/Condo","41","Port Moody","Port Moody","9/11/2016","ANGIE SUN","1","$1,291.72","3/11/2016","001-157-477",,"$225.00","3/20/2016","$365,000","$330.32","1.05","2","3","RES","$348,000","9","1,105","$330.32","1.05","Apartment/Condo"
"R2041717","Residential Attached","S","117 2600 E 49TH AVENUE","Killarney VE","1973","Apartment/Condo","43","Vancouver East","Vancouver","8/18/2016","GARY","1","$1,063.44","3/2/2016","003-140-113",,"$298.00","3/20/2016","$365,800","$361.82","1.00","1","2","CD-1","$365,800","18","1,011","$361.82","1.00","Apartment/Condo"
"R2045490","Residential Attached","S","47 1973 WINFIELD DRIVE","Abbotsford East","1993","Townhouse","23","Abbotsford","Abbotsford","7/14/2016","Mike/Michele","3","$2,364.14","3/14/2016","018-238-629",,"$309.00","3/19/2016","$366,000","$163.10","1.05","3","3","RM30","$349,900","5","2,244","$163.10","1.05","Townhouse"
"R2041854","Residential Attached","S","7 7321 MONTECITO DRIVE","Montecito","1973","Townhouse","43","Burnaby North","Burnaby","6/30/2016","Russell or Touchbase","1","$1,981.72","3/4/2016","001-136-283","3","$311.00","3/16/2016","$367,000","$293.60","1.00","2","2","CD","$368,100","12","1,250","$293.60","1.00","Townhouse"
"R2021317","Residential Detached","S","9736 SIDNEY STREET","Chilliwack N Yale-Well","1952","House/Single Family","64","Chilliwack","Chilliwack","6/29/2016","CLARKE","1","$2,048.38","12/18/2015","001-721-496",,,"3/20/2016","$367,000","$295.97","0.92","2","3","R1A","$399,000","93","1,240","$295.97","0.98","House/Single Family"
"R2041448","Residential Attached","S","401 1099 W 71ST AVENUE","Marpole","1998","Apartment/Condo","18","Vancouver West","Vancouver","6/30/2016","BARBARA","2","$1,149.00","3/3/2016","023-988-223","4","$274.00","3/17/2016","$368,000","$516.85","0.93","2","2","RES","$395,000","14","712","$516.85","0.93","Apartment/Condo"
"R2046002","Residential Attached","S","313 12655 190A STREET","Mid Meadows","2014","Apartment/Condo","2","Pitt Meadows","Pitt Meadows","6/15/2016","JAMES HO","2","$637.57","3/15/2016","029-461-171","4","$210.00","3/20/2016","$368,000","$391.07","1.00","2","2","RMS","$368,000","5","941","$391.07","1.00","Apartment/Condo"
"R2038154","Residential Attached","S","54 7811 209 STREET","Langley City","2016","Townhouse","0","Langley","Langley","6/30/2016","Malkiat Gill","2","$0.00","2/23/2016","029-718-635",,"$123.00","3/18/2016","$368,000","$344.89","0.98","2","2","MF","$374,900","24","1,067","$344.89","0.98","Townhouse"
"N245154","Residential Detached","S","3708 HAWTHORN AVENUE","Thornhill","1993","House/Single Family","23","Terrace (Zone 88)","Terrace","5/15/2016","HANS STACH","3","$3,194.00","5/17/2015","005-758-637",,,"3/18/2016","$370,000","$146.36","0.96","3","5","R-1","$384,500","306","2,528","$146.36","0.93","House/Single Family"
"R2021980","Residential Detached","S","7103 SECHELT INLET ROAD","Sechelt District","1995","House/Single Family","21","Sunshine Coast","Sechelt","4/30/2016","BOB","2","$3,565.50","12/31/2015","027-961-443",,,"3/18/2016","$370,000","$252.22","0.95","2","3","R-3","$389,000","78","1,467","$252.22","0.93","House/Single Family"
"R2042273","Residential Attached","S","410 6475 CHESTER STREET","Fraser VE","1994","Apartment/Condo","22","Vancouver East","Vancouver","9/3/2016","Ernie","1","$947.46","3/4/2016","023-058-277",,"$259.97","3/16/2016","$370,500","$503.40","1.06","1","1","C2","$348,000","12","736","$503.40","1.06","Apartment/Condo"
"R2030936","Residential Detached","S","2816 CLEARBROOK ROAD","Abbotsford West","1955","House/Single Family","61","Abbotsford","Abbotsford","5/24/2016","Hari Sharma","1","$2,524.59","1/27/2016","010-377-620",,,"3/17/2016","$372,000","$203.28","0.98","1","0","RES","$379,900","50","1,830","$203.28","0.98","House/Single Family"
"R2013559","Residential Attached","S","706 6200 RIVER ROAD","Brighouse","2014","Apartment/Condo","2","Richmond","Richmond","12/31/2016","Hannah","1","$987.00","11/5/2015","029-233-160","12","$171.97","3/19/2016","$373,000","$683.15","1.00","1","1","RCL3","$373,000","135","546","$683.15","1.00","Apartment/Condo"
"R2038620","Residential Detached","S","67 12677 63 AVENUE","Panorama Ridge","2005","Townhouse","11","Surrey","Surrey","10/31/2016","Touchbase only","2","$1,776.14","2/23/2016","026-478-650",,"$285.74","3/16/2016","$373,250","$215.75","1.00","3","4","MF","$372,000","22","1,730","$215.75","1.00","Townhouse"
"R2034615","Residential Attached","S","2509 13303 103A AVENUE","Whalley","2015","Apartment/Condo","1","North Surrey","Surrey","12/31/2016","Sean","2","$843.71","2/12/2016","029-524-466","28","$315.89","3/16/2016","$374,900","$483.12","1.00","2","2","RES","$374,900","33","776","$483.12","1.00","Apartment/Condo"
"R2046812","Residential Attached","S","410 15 SMOKEY SMITH PLACE","GlenBrooke North","2002","Apartment/Condo","14","New Westminster","New Westminster","7/31/2016","TOUCHBASE","1","$1,810.91","3/15/2016","025-411-918","4","$283.62","3/20/2016","$375,000","$460.69","1.07","1","2","MULTI","$349,900","5","814","$460.69","1.07","Apartment/Condo"
"R2042832","Residential Attached","S","503 4160 ALBERT STREET","Vancouver Heights","1993","Apartment/Condo","23","Burnaby North","Burnaby","6/30/2016","MARTIN RAMOND","1","$2,004.11","3/7/2016","017-923-034","9","$198.09","3/19/2016","$375,000","$494.07","0.96","1","1","CD","$390,000","12","759","$494.07","0.96","Apartment/Condo"
"R2043403","Residential Attached","S","702 9266 UNIVERSITY CRESCENT","Simon Fraser Univer.","2006","Apartment/Condo","10","Burnaby North","Burnaby","8/31/2016","Text or Touchbase for showing","2","$2,140.67","3/7/2016","026-780-623",,"$315.00","3/19/2016","$375,000","$439.62","1.02","2","2","STRATA","$368,000","12","853","$439.62","1.02","Apartment/Condo"
"R2023907","Residential Attached","S","313 9399 ODLIN ROAD","West Cambie","2012","Apartment/Condo","4","Richmond","Richmond","6/30/2016","WILLIE CHAN","1","$1,482.81","1/5/2016","028-913-311","3","$294.10","3/18/2016","$375,000","$487.65","0.99","1","2","ZLR24","$379,000","73","769","$487.65","0.99","Apartment/Condo"
"R2045116","Residential Detached","S","6347 TYLER ROAD","Sechelt District","2005","House/Single Family","11","Sunshine Coast","Sechelt","3/11/2017","ALI KHAN","2","$3,355.00","3/12/2016","026-154-773",,,"3/16/2016","$375,000","$269.78","1.01","2","2","R1","$369,900","4","1,390","$269.78","1.01","House/Single Family"
"R2027463","Land Only","S","LT.E 3436 HEADWATER PLACE","Abbotsford West",,,,"Abbotsford","Abbotsford","12/30/2016","AMAN BATH",,"$0.00","1/18/2016","029-636-787",,,"3/17/2016","$379,900","$54.18","1.06",,,"RS5-A","$359,900","5",,"$54.18","1.06","Other"
"R2047726","Residential Detached","S","1781 MCKENZIE ROAD","Poplar","1979","House/Single Family","37","Abbotsford","Abbotsford","9/15/2016","Touchbase","1","$2,818.40","3/15/2016","000-589-012",,,"3/16/2016","$379,900","$302.95","1.00","1","3","RS3","$379,900","1","1,254","$302.95","1.00","House/Single Family"
"R2044867","Residential Attached","S","801 9262 UNIVERSITY CRESCENT","Simon Fraser Univer.","2005","Apartment/Condo","11","Burnaby North","Burnaby","12/9/2016","604-356-3650","2","$2,148.10","3/9/2016","026-699-869",,"$300.00","3/19/2016","$380,000","$427.93","0.97","2","2","MF","$390,000","10","888","$427.93","0.97","Apartment/Condo"
"R2029169","Residential Attached","S","283 13888 70 AVENUE","East Newton","1994","Townhouse","22","Surrey","Surrey","6/27/2016","Lisa Yasuda","2","$1,995.17","1/27/2016","023-515-015",,"$372.21","3/16/2016","$382,000","$198.24","0.98","2","2","MF","$390,000","49","1,927","$198.24","0.94","Townhouse"
"R2044132","Residential Attached","S","412 1153 KENSAL PLACE","New Horizons","2011","Apartment/Condo","5","Coquitlam","Coquitlam","9/30/2016","TOUCHBASE","2","$2,064.17","3/7/2016","028-623-959","4","$270.53","3/20/2016","$382,000","$466.42","1.01","2","2","STRATA","$379,000","13","819","$466.42","1.01","Apartment/Condo"
"R2045868","Residential Attached","S","48 8438 207A STREET","Willoughby Heights","2014","Townhouse","2","Langley","Langley","9/8/2016","PLS NO TXT, TB ONLY","2","$2,810.20","3/14/2016","029-379-547",,"$156.91","3/17/2016","$385,000","$318.44","1.04","3","2","CD-92","$369,000","3","1,209","$318.44","1.04","Townhouse"
"R2043736","Residential Attached","S","314 5500 ANDREWS ROAD","Steveston South","1997","Apartment/Condo","19","Richmond","Richmond","7/31/2016","LYNN SKAI-BODEN","2","$1,490.89","3/7/2016","023-684-330","4","$325.85","3/16/2016","$385,000","$399.38","0.94","2","2","ZLR4","$408,800","9","964","$399.38","0.94","Apartment/Condo"
"R2042903","Residential Attached","S","2307 2980 ATLANTIC AVENUE","North Coquitlam","2010","Apartment/Condo","6","Coquitlam","Coquitlam","6/30/2016","VIRGINIA-TOUCHBASE PREFER","1","$2,172.47","3/7/2016","028-080-807",,"$225.46","3/17/2016","$385,000","$493.59","0.97","1","2","APT","$395,000","10","780","$493.59","0.97","Apartment/Condo"
"R2015641","Residential Attached","S","1203 8246 LANSDOWNE ROAD","Brighouse","1995","Apartment/Condo","21","Richmond","Richmond","11/30/2016","BENJAMIN","2","$1,469.96","11/16/2015","019-145-535",,"$310.89","3/16/2016","$385,000","$404.84","1.00","2","2","CDT1","$385,000","121","951","$404.84","1.00","Apartment/Condo"
"R2043082","Residential Attached","S","22 8717 159 STREET","Fleetwood Tynehead","2005","Townhouse","11","Surrey","Surrey","9/30/2016","Anna","2","$2,119.74","3/7/2016","026-222-469",,"$181.44","3/18/2016","$385,200","$244.73","1.04","3","3","RM15","$369,900","11","1,574","$244.73","1.04","Townhouse"
"R2040356","Residential Attached","S","140 8590 SUNRISE DRIVE","Chilliwack Mountain","2007","Townhouse","9","Chilliwack","Chilliwack","9/30/2016","Dale Quinnell","3","$2,584.70","2/27/2016","027-100-642",,"$251.75","3/19/2016","$387,000","$163.57","1.01","4","4","R4","$385,000","21","2,366","$163.57","1.01","Townhouse"
"R2046310","Residential Attached","S","93 7938 209 STREET","Willoughby Heights","2012","Townhouse","4","Langley","Langley","9/22/2016","Kyle or Tanya","2","$3,095.52","3/15/2016","028-875-893",,"$240.00","3/17/2016","$387,500","$312.00","1.06","2","3","CD-65","$364,800","2","1,242","$312.00","1.06","Townhouse"
"R2046966","Residential Detached","S","7119 WESTGATE AVENUE","Lafreniere","2006","House/Single Family","10","PG City South (Zone 74)","Prince George","7/20/2016","AARON","3","$4,059.90","3/16/2016","026-421-534",,,"3/20/2016","$388,000","$161.13","1.00","3","5","RS2M","$389,007","4","2,408","$161.13","1.00","House/Single Family"
"R2010919","Residential Attached","S","562 6288 NO 3 ROAD","Brighouse","2016","Apartment/Condo","0","Richmond","Richmond","6/23/2016","Danny Chow","1","$0.00","10/23/2015","800-100-007","16","$189.90","3/18/2016","$388,000","$612.95","0.97","1","1","CDT1","$399,900","147","633","$612.95","0.97","Apartment/Condo"
"R2042105","Residential Attached","S","22 13670 62 AVENUE","Sullivan Station","2017","Townhouse","0","Surrey","Surrey","3/13/2017","Sheela","3","$0.00","3/1/2016","900-578-257",,"$176.00","3/19/2016","$389,353","$248.79","1.05","4","4","MR","$369,586","18","1,565","$248.79","1.05","Townhouse"
"R2038590","Residential Attached","S","206 1215 LANSDOWNE DRIVE","Upper Eagle Ridge","1989","Townhouse","27","Coquitlam","Coquitlam","5/31/2016","TOUCHBASE","2","$2,077.43","2/23/2016","009-026-754","2","$271.26","3/16/2016","$389,900","$353.81","0.95","2","2","TH","$408,800","22","1,102","$353.81","0.95","Townhouse"
"R2037108","Residential Detached","S","1261 MARION PLACE","Gibsons & Area","1981","House/Single Family","35","Sunshine Coast","Gibsons","5/23/2016","Marla no touch base","1","$1,970.39","2/21/2016","007-360-487",,,"3/18/2016","$390,000","$292.13","0.98","2","3","R2","$399,000","26","1,335","$292.13","0.98","House/Single Family"
"R2045517","Residential Attached","S","1208 989 BEATTY STREET","Yaletown","2004","Apartment/Condo","12","Vancouver West","Vancouver","6/14/2016","SHANE","1","$1,117.16","3/14/2016","025-896-091",,"$202.00","3/20/2016","$390,000","$847.83","1.06","1","0","APT","$368,800","6","460","$847.83","1.06","Apartment/Condo"
"R2026632","Residential Attached","S","301 501 COCHRANE AVENUE","Coquitlam West","1991","Apartment/Condo","25","Coquitlam","Coquitlam","7/18/2016","JUNO","2","$2,122.50","1/18/2016","016-885-279",,"$414.00","3/20/2016","$390,100","$265.74","0.98","2","2","APT","$398,800","62","1,468","$265.74","0.98","Apartment/Condo"
"R2034909","Residential Attached","S","69 11757 236TH STREET","Cottonwood MR","1996","Townhouse","20","Maple Ridge","Maple Ridge","12/31/2016","TOUCHBASE PLEASE!","1","$2,945.72","2/15/2016","023-278-170","3","$468.27","3/18/2016","$391,500","$189.50","0.98","2","4","RM1","$399,000","32","2,066","$189.50","0.98","Townhouse"
"R2046304","Residential Attached","S","307 2788 PRINCE EDWARD STREET","Mount Pleasant VE","2013","Apartment/Condo","3","Vancouver East","Vancouver","6/30/2016","CLIENT CARE","1","$853.79","3/15/2016","028-983-394","10","$165.00","3/17/2016","$393,000","$730.48","0.98","1","1","C-3A","$399,900","2","538","$730.48","0.98","Apartment/Condo"
"R2047426","Residential Attached","S","4 10340 156 STREET","Guildford","1996","Townhouse","20","North Surrey","Surrey","6/30/2016","John","2","$1,782.51","3/16/2016","019-028-601",,"$198.70","3/20/2016","$395,000","$226.62","1.06","3","3","RES","$373,800","4","1,743","$226.62","1.06","Townhouse"
"R2046333","Residential Attached","S","27 6383 140 STREET","Sullivan Station","2012","Townhouse","4","Surrey","Surrey","6/14/2016","Nikki","2","$2,268.85","3/14/2016","028-896-831",,"$167.00","3/20/2016","$395,000","$237.52","1.07","4","3","MR","$369,900","6","1,663","$237.52","1.07","Townhouse"
"R2012753","Residential Detached","S","65898 COTTONWOOD DRIVE","Hope Kawkawa Lake","2006","House/Single Family","10","Hope","Hope","4/30/2016","MIKE BAIRD","3","$3,820.14","11/2/2015","026-299-801",,,"3/20/2016","$395,000","$135.46","1.00","3","5","RS1","$395,000","139","2,916","$135.46","1.00","House/Single Family"
"R2034012","Residential Attached","S","301 327 W 2ND STREET","Lower Lonsdale","1976","Apartment/Condo","40","North Vancouver","North Vancouver","8/11/2016","MELISSA","2","$1,011.52","2/10/2016","003-505-073",,"$380.21","3/17/2016","$395,000","$443.82","0.99","2","2","RM1","$398,000","36","890","$443.82","0.99","Apartment/Condo"
"R2030525","Residential Attached","S","51 8473 163 STREET","Fleetwood Tynehead","2014","Townhouse","2","Surrey","Surrey","4/30/2016","Marlon","2","$1,794.78","1/30/2016","029-278-376",,"$161.00","3/16/2016","$395,000","$317.52","0.99","2","3","MF","$399,000","46","1,244","$317.52","0.95","Townhouse"
"R2045227","Residential Attached","S","87 10151 240 STREET","Albion","2015","Townhouse","1","Maple Ridge","Maple Ridge","9/15/2016","Dominic","2","$1,100.00","3/15/2016","029-693-896","3","$154.70","3/19/2016","$395,000","$310.05","1.13","3","3","RM1","$349,999","4","1,274","$310.05","1.13","Townhouse"
"R2045058","Residential Attached","S","218 5365 LANE STREET","Metrotown","2017","Apartment/Condo","0","Burnaby South","Burnaby","12/31/2016","TEXT MSG / TOUCHBASE HELEN LEE","2","$0.00","3/11/2016","800-103-593","4","$228.00","3/16/2016","$395,800","$524.93","1.00","2","2","C9A","$395,800","5","754","$524.93","1.00","Apartment/Condo"
"R2044966","Residential Attached","S","35 11160 KINGSGROVE AVENUE","Ironwood","1979","Townhouse","37","Richmond","Richmond","9/11/2016","CALL SIMON - NO TOUCHBASE","1","$1,385.04","3/11/2016","001-720-775",,"$273.71","3/16/2016","$396,500","$333.75","1.12","1","2","016","$355,000","5","1,188","$333.75","1.12","Townhouse"
"R2042854","Residential Attached","S","45 14955 60TH AVENUE","Sullivan Station","2013","Townhouse","3","Surrey","Surrey","6/30/2016","Danielle Hrasko","3","$2,306.12","3/7/2016","028-935-691",,"$210.14","3/16/2016","$398,000","$262.53","1.00","3","3","CD","$399,000","9","1,516","$262.53","1.00","Townhouse"
"R2042490","Residential Attached","S","16 16355 82 AVENUE","Fleetwood Tynehead","2010","Townhouse","6","Surrey","Surrey","3/3/2017","ANDY","2","$2,226.92","3/3/2016","028-465-725",,"$197.11","3/19/2016","$399,000","$274.23","1.00","3","3","RM30","$399,000","16","1,455","$274.23","1.00","Townhouse"
