"ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Total Baths","Zoning","List Price","Lot Sz (Acres)","Region","# of Kitchens","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Adjustment Date","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","City","Class","Collapse Date","Confirm Sold Date","Days On MLS","Depth","Development Permit?","Expiry Date","Fireplaces","Floor Area -Grand Total","Floor Area Fin - Basement","Foundation","Gross Taxes","How Sold","Income As At Date","Income Per Annum","Include in DDF (Y/N)","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","Parking Places - Total","Potential for Rezoning?","Prev Price","Previous Exp Date","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Sale/Rent","Sanitary Sewer","SP/OLP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Tot Units in Strata Plan","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com"
"R2296236","Residential Attached","S","23 17555 57A AVENUE","Cloverdale BC","3","3","2018","0.00","Townhouse","Cloverdale","030-500-923","V3S 7V2",,,,"$573,500","1.00","$516.67","8/10/2018","3","CD","$573,500","0.00","Fraser Valley","0",,,,"11/15/2018","0",,"778-547-1072",,,,"0","3",,,"HADDAD",,"Surrey","Residential Attached",,"8/10/2018","1",,,"10/31/2018","0","1,110","0","Concrete Slab","$0.00","NOT USED",,,"Yes",,,,"8/20/2018",,"8/7/2018","Surrey",,,"3",,"2",,"$0",,,"BC","We love our Kensington homes and feel Home #23 is one of our best. Here's our top ten reasons why:  1. 10-foot ceilings on the main floor means more natural light, more volume and more storage.  2. Two bedrooms, two bathrooms and a powder room just off the main.  3. Side-by-side parking for two cars meaning no fuss on who has to leave first in the morning.  4. A master bedroom fit for a king-sized bed.  5. Herringbone pattern flooring creates a strong first impression of this open plan layout.  6. A big island with tons of storage is perfect for prepping meals or a Sunday feast.  7. Set on corner meaning more windows - including some of our largest windows by the kitchen.  8. A south-facing deck with more sun for lounging and BBQ's.  9. Perfectly located by Hawthorne's clubhouse.","We're down to the final homes at Hawthorne. Clients can take advantage of our $20,000 Summer Savings. Call 778.547.1072 or email hawthorne@mosaichomes.com or visit us to learn more about Home #23 (2 Bed Corner home). Move in ready this Fall, Nov. 2018. Visit today @ 58 Ave & 176 St. (Model Home #33)","For Sale",,"1.00","8/20/2018",,"3",,"$187.36","Freehold Strata","112",,"112",,
"R2241505","Residential Detached","X","5459 GLENMORE ROAD","Matsqui","181","3","1952","3,050.00","House/Single Family","Abbotsford","010-910-697","V4X 1X7","50.00",,,,,,,"1","SR","$574,000","0.07","Fraser Valley","1",,,,,"66",,"604-855-5400","9999",,,"0","3",,,,,"Abbotsford","Residential Detached",,,,"60",,"8/17/2018","2","955","0","Concrete Perimeter","$2,924.00",,,,"Yes",,,,"8/18/2018",,"2/18/2018",,,,"1",,"3",,"$596,000",,,"BC","Cute country home - 3 bdrm (possible 4) + den rancher is nestled on idyllic farmland & backs onto horse pasture. This home exudes charm with it's original hardwood floors & free standing fireplace-while. Updates such as a brand new roof, thermo windows, newer appliances, hardwood in the master bdrm and a renovated main bath. Added bonus-the den also features built in cabinetry for the perfect office. Outside you'll find a large deck and workshop. Definitely not a drive by. LAND SIZE IS NOT AT FENCE LINES ON THE NORTH AND WEST SIDES AND MUST BE RETURNED TO THE SURVEY LINES.","PLEASE TOUCHBASE ONLY - NO ONE DAY CODES. Much have your own LB key. While measurements are deemed to be correct, please have Buyer measure for accuracy if important. BUYERS MUST READ PDS - LAND SIZE IS NOT AT FENCE LINES ON THE NORTH AND WEST SIDES AND MUST BE RETURNED TO THE SURVEY LINES.","For Sale",,,"8/18/2018",,,,,"Freehold NonStrata",,,,,
"R2264218","Residential Attached","T","32567 ROSS DRIVE","Mission BC","100","3","2018","2,156.00","Row House (Non-Strata)","Mission","030-241-502","V2V 0G1","22.00",,,,,,,"3","RES","$574,700","0.05","Fraser Valley","1",,,,,"0",,"604-855-0800",,,,"0","3",,,,,"Mission","Residential Attached",,,,"98",,"8/10/2018","1","2,147","0","Concrete Perimeter","$0.00",,,,"Yes",,"DISTRICT OF MISSION",,"8/10/2018",,"5/2/2018","Mission",,,"3",,"2",,"$0",,,"BC","Horne Creek - Fraser Collection. Currently being built by Diverse Properties. Colourful craftsman style home welcomes visitors with it's inviting curb appeal. The exterior of the home features low maintenance Hardi board material. Professionally landscaped front and back yards, with mature trees and lush greenery. Garage has a bonus room on top, perfect for an artist loft, home-based business or music room. The interior of the home is where modern amenities meet classic style. Your new main floor feels large with 9' ceilings. The kitchen features shaker style cabinets, large island, stainless steel appliances and solid 3 cm engineered stone countertops throughout (and bathrooms too!).  More info and photos by googling Horne Creek.  Call today to arrange a private showing!","Measurements should be verified if important to the Buyer. Project Brochure available at: file:///C:/Users/Owner/Downloads/Diverse_HorneCreek_Brochure.pdf","For Sale",,,"8/10/2018",,,,,"Freehold NonStrata",,,,,
"R2271955","Residential Attached","T","308 5430 201 STREET","Langley City","82","3","2006","0.00","Apartment/Condo","Langley","026-856-417","V3A 0A2",,,,,,,,"2","MF","$574,900","0.00","Fraser Valley","1",,,,,"12",,"604-542-2444",,,,"0","3",,,,,"Langley","Residential Attached",,,,,,"8/15/2018","1","1,513","0","Concrete Perimeter","$1,800.82",,,,"Yes",,"CITY OF LANGLEY",,"8/15/2018",,"5/24/2018","Langley",,,"1",,"2",,"$594,900",,,"BC","Feels like a one level house! 3 full bedrooms, 1513 sqft northwest corner condo in upscale Sonnet. One of Langley's best buildings with features you will appreciate. 2 balconies (off livingroom & Master bdrm), impressive kitchen with window over sink + 2nd sink for entertaining, granite counters, island with eating bar.  9' ceilings and oversize windows give this home great light. Huge bdrms, Master has walk in closet. In suite storage + full size locker on same floor. A/C built in. Gym, library and large party room. Extra wide and deep side by side parking stalls ideal for trucks or storing winter tires. Pet friendly (1 dog or cat max 25 lbs). Walking distance to Save On, bus, restaurants. Open Sunday Aug. 12, 2-4pm.","Floor Plan attached in Documents. Strata Documents available, call Listing Realtor. Quick possession. Still available. ","For Sale",,,"8/15/2018",,"4",,"$386.85","Freehold Strata",,,,,
"R2283777","Residential Attached","C","112 6655 192 STREET","Clayton","48","3","2012","0.00","Townhouse","Cloverdale","028-926-790","V4N 0B9","0.00",,,,,,,"3","CD","$574,900","0.00","Fraser Valley","1",,,,,"6",,"604-530-0231",,,,"0","3",,,,,"Surrey","Residential Attached",,,,,,"12/31/2018","1","1,290","0","Concrete Perimeter","$1,710.57",,,,"Yes",,"CITY OF SURREY",,"8/13/2018",,"6/26/2018","Surrey",,,"2",,"2",,"$0",,,"BC","ONE92 in centrally located Clayton! Unique townhouse END unit so very bright with lots of windows, both a fenced front yard and spa oasis patio in the back, private w/lots of greenery leading out to inner courtyard. Main floor has gourmet kitchen, welcoming living room, open concept with S/S appliances & quartz countertops. Powder room on the main too along with a bedroom (could be a perfect office too). Upstairs find two great size bedrooms and 2 more full bathrooms. 2 secure underground parking spots, and storage locker. Rentals and a 4 legged friend is ok too! Great spot in Clayton, close to loads of shopping and amenities.","Total measurements from Strata plan, buyer to verify if important. Please use Touchbase for Appointments.","For Sale",,,"8/13/2018",,,,"$314.25","Freehold Strata",,,"74",,
"R2269202","Residential Attached","T","606 1148 HEFFLEY CRESCENT","North Coquitlam","91","2","1998","0.00","Apartment/Condo","Coquitlam","024-281-948","V3B 8A6",,,,,,,,"2","STRATA","$579,000","0.00","Greater Vancouver","1",,,,,"20",,"778-865-1628",,,,"0","2",,,,,"Coquitlam","Residential Attached",,,,,,"8/15/2018","1","954","0","Concrete Perimeter","$1,735.54",,,,"Yes",,,,"8/15/2018",,"5/16/2018",,,,"1",,"1",,"$589,000",,,"BC","Price Reduced!!! Sought-after central location in Coquitlam! Centura above Henderson center. Very well maintained spacious 2 bedroom plus 2 full bath hi-rise condo unit in perfect move-in condition. Close to everything including all shopping, restaurants, public library, parks and schools, sky train station and all other public transit. Perfect for 1st time buyer or investor. One parking and one storage locker come together. Priced for quick sale. Immediate possession is possible too. DO NOT MISS IT! Private showings on July 22. Please call to book.","Price reduced!!! Measurement is from the strata plan and is approximate. Buyer/Buyer's agent to verify. Easy to show and quick possession is possible. Please text 778-651-1628 Sylvia Shen for quick response. Private showings available on July 22, please call to book.","For Sale",,,"8/15/2018",,"21",,"$339.20","Freehold Strata","142",,"142",,
"R2282129","Residential Attached","T","124 6030 142 STREET","Sullivan Station","51","3","2018","0.00","Townhouse","Surrey","905-002-083","N0N 0N0",,,,,,,,"3","MULTDT","$579,900","0.00","Fraser Valley","1",,,,,"0",,"778-808-6563",,,,"0","3",,,,,"Surrey","Residential Attached",,,,,,"8/10/2018","0","1,347","0","Concrete Perimeter","$0.00",,,,"Yes",,"CITY OF SURREY",,"8/10/2018",,"6/20/2018","Surrey",,,"3",,"2",,"$0",,,"BC","MOVE IN THIS SUMMER! Welcome to Blackberry Walk 3 - proudly developed by Woodbridge Properties + Park Ridge Homes. Boasting contemporary craftsman style architecture, this home has an open & functional floorpan with 1,347 sqft of living space! The main floor offers a spacious & bright living & dining room, convenient powder room, & 9ft ceiling throughout. Kitchen stuns with stainless steel appliances & quartz countertops, and a sliding glass door opening onto a sundeck. 3 bedrooms up including master w/ VAULTED CEILING, WIC & ensuite w/ double sinks. Great location! Walking distance to schools, shopping & transit.","Measurements are approximate and should be verified by Buyer if deemed important. Non-Registered Strata Property - Contact LR. This an assignment. Estimated completion August 2018. Strata fee TBD. All offers must include Team Disclosure in Docs. See Assignment Contract in Docs.","For Sale",,,"8/10/2018",,,,"$150.39","Freehold Strata","48",,"48",,
"R2281444","Residential Attached","T","406 5652 PATTERSON AVENUE","Central Park BS","56","2","1981","0.00","Apartment/Condo","Burnaby South","000-489-468","V5H 4C8",,,,,,,,"1","CD","$579,900","0.00","Greater Vancouver","1",,,,,"37",,"778-928-1461",,,,"0","2",,,,,"Burnaby","Residential Attached",,,,,,"8/13/2018","0","942","0","Concrete Perimeter","$1,843.27",,,,"Yes",,,,"8/13/2018",,"6/18/2018",,,,"1",,"1",,"$589,900",,,"BC","Central Park Place! A fully renovated 2 bedroom home right next to Central Park. New kitchen boasts quartz counter tops, high gloss soft-close cabinets, stainless steel appliances and lovely tile flooring. This concrete building has had many updates throughout the years, NEW windows, sliding doors, elevators, exterior paint.  Features ensuite laundry, a large 23’5 x 4’9 private patio, updated bathroom, wide panel laminate flooring and sunset views. Comes with one parking and one storage locker. Close to Metrotown, Crystal Mall, T&T Market, Golf Course, Patterson Skytrain Station and many parks.","Parking Stall PB1157. Storage #SW083. Seller has paid for parkade assessment in full. Rentals and pets not allowed.  Buyers agent commission is 3.255% on the 1st $100,000 and 1.1625% of the balance PLUS $3500 bonus.","For Sale",,,"8/13/2018",,,,"$363.35","Freehold Strata","408",,"408",,
"R2284420","Residential Attached","C","513 8218 207A STREET","Willoughby Heights","48","3","2018","0.00","Apartment/Condo","Langley","905-002-161","N0N 0N0",,,,,,,,"2","CD-75","$580,000","0.00","Fraser Valley","0",,,,,"0",,,,,,"0","3",,,,,"Langley","Residential Attached",,,,,,"10/26/2018","1","1,120","0","Concrete Perimeter",,,,,"Yes",,,,"8/13/2018",,"6/26/2018",,,,"1",,,,"$0",,,"BC","Here is your opportunity to live in the STUNNING Yorkson Creek development. Within walking distance to park, grocery store & shopping! This TOP FLOOR unit boasts spacious floor plan, a deluxe kitchen offering granite countertops & high end stainless steel appliances, including a gas cooktop! Entertain all year round in your beautiful solarium with retractable glass panels & natural gas hookup for a BBQ. Keep cool in the summer with a heat pump system air-conditioning. Low strata fee's include 5 YEARS of FREE cable & internet, gas & MORE! 2 parking stalls (one of which is extra wide) & a LARGE PRIVATE storage garage. This won't last long!","Assignment of Contract. Non-Registered Strata Property - Contact L.R. Estimated Completion Date late 2018. Measurements approx. taken from Developer's floor plan. Should be verified by buyer if important.","For Sale",,,"8/13/2018",,"5",,"$208.00","Freehold Strata",,,,,
"R2289173","Residential Attached","T","608 168 POWELL STREET","Downtown VE","35","1","2009","0.00","Apartment/Condo","Vancouver East","028-069-587","V6A 0B2",,,,,,,,"1","HA2","$582,888","0.00","Greater Vancouver","1",,,,,"9",,"778-688-8480",,,,"0","1",,,,,"Vancouver","Residential Attached",,,,,,"8/15/2018","0","643","0","Concrete Perimeter","$1,113.93",,,,"Yes",,,,"8/15/2018",,"7/11/2018",,,,"1",,,,"$0",,,"BC","643 sq ft 1 bedroom spacious and modern boutique style building by Concord Pacific in Gastown. Built in 2009 this modern home has European style kitchen with stainless steel appliances and ample counter space. The home boasts spacious rooms and lots of light in the bedroom, as designed by the frosted glass separator. . This is a dream location for anyone taking public transit with bus and train being within walking distance, plus, SMART is also conveniently located close to shopping, restaurants, downtown & hip neighborhoods - Chinatown and Gastown! This home is an opportunity you don't want to miss. The building has gym, shared workshop, meeting room. Tenanted for 1,475 per month, perfect for investors.","Measurements to be verified by Buyer","For Sale",,,"8/15/2018",,"8",,"$279.42","Freehold Strata",,,"94",,
"R2271826","Residential Attached","T","307 15988 26 AVENUE","Grandview Surrey","81","2","2008","0.00","Apartment/Condo","South Surrey White Rock","027-738-469","V3S 5K3",,,,,,,,"2","CD","$584,000","0.00","Fraser Valley","1",,,,,"10",,"604-649-5616",,,,"0","2",,,,,"Surrey","Residential Attached",,,,,,"8/13/2018","1","1,076","0","Concrete Perimeter","$1,624.17",,,,"Yes",,"CITY OF SURREY",,"8/13/2018",,"5/24/2018","Surrey",,,"1",,"2",,"$599,000",,,"BC","ONE OF THE MORGAN'S BEST UNITS!! TOP FLOOR SOUTHWEST CORNER PENTHOUSE UNIT!! With 14' high ceilings in the living room and master bedroom. WINDOWS EVERYWHERE! OPEN LAYOUT! This is a fantastic floor plan with a formal dining area which could be a 3rd bedroom if needed. TERRIFIC MASTER w/ 14' ceilings and deluxe walk in closet w/built in closet storage. AWESOME southwest views into the COURTYARD. TWO PARKING STALLS and so much more!! TRULY ONE OF THE BEST UNITS AVAILABLE in the Morgan!!","Square footage from strata plan, buyer to verify all measurements if deemed important. Easy to show with quick possession VACANT.","For Sale",,,"8/13/2018",,,,"$375.00","Freehold Strata",,,"242",,
"R2282207","Residential Attached","T","3107 5470 ORMIDALE STREET","Collingwood VE","58","1","2018","0.00","Apartment/Condo","Vancouver East","030-420-946","V5R 0G6",,,,,,,,"1","CD-1","$585,000","0.00","Greater Vancouver","1",,,,,"0",,"604-720-6808",,,,"0","1",,,,,"Vancouver","Residential Attached",,,,,,"8/16/2018","0","499","0","Concrete Perimeter","$714.07",,,,"Yes",,,,"8/16/2018",,"6/19/2018",,,,"1",,"1",,"$0",,,"BC","Brand new Tower 3 of Wall Centre Central Park finally completed. Bright 1 bedroom + flex with amazing views of city, downtown and mountain. Efficient floor plan. Laminate flooring throughout. Floor to ceiling windows. Linear kitchen features quartz counter, s/s appliances with Shaker-style cabinetry. Marble counter in the bathroom. Building amenities include gym, party room, meeting room, rooftop garden. One parking and one locker included. Close to public amenities: Central Park, 10 minutes walk to Joyce Skytrain Station to take you to Metrotown, downtown and shops. Call for showing by private appointment. GST paid.  2-5-10 warranty. Don’t miss out, you will love it as your home.  Measurements are approx.  , buyer to verify.  OPEN HOUSE SAT & SUN, June 23rd & 24th 2-4 pm.","Parking Stall PH1 – 130 (P4) Locker P4-RM5-#9. Easy to show. Please call/text/touchbase for showing appointment. OPEN HOUSE SAT & SUN, June 23rd & 24th 2-4pm.","For Sale",,,"8/16/2018",,,,"$225.17","Freehold Strata","332",,,,
"R2281629","Residential Attached","X","304 7760 MOFFATT ROAD","Brighouse South","62","2","1987","0.00","Apartment/Condo","Richmond","008-057-125","V6Y 1X8",,,,,,,,"2","RAM1","$588,000","0.00","Greater Vancouver","1",,,,,"31",,"778-320-7999",,,,"0","2",,,,,"Richmond","Residential Attached",,,,,,"8/18/2018","1","964","0","Concrete Perimeter","$985.96",,,,"Yes",,,,"8/19/2018",,"6/18/2018",,,,"1",,"2",,"$0",,,"BC","Location! Location! Welcome to this amazing Penthouse corner unit at Melrose Place. It offers two bedroom and two bathrooms, newly updated kitchen with quartz countertops, stainless steel appliances, bathrooms, tiled entry, laminate floor. Large windows in living room bring in light throughout the entire unit. 2 Parking lots and 1 storage locker. Close to everything, Library, Richmond City Hall, Richmond Centre Mall, banks, buses, skytrain. Excellent school catchment: Ferris Elementary and Richmond Secondary Schools. Won't last long, a must see!! Open house August 11&12, 2-4PM.","Please phone or text Kevin for appointments. Easy to show. Parking #4& #18, storage locker #304. All measurements are approximate and need to be verified by buyer if deemed important. Open house August 05, Sun, 2-4PM. Please contact Heidi 778-321-0998 for more info.","For Sale",,,"8/19/2018",,,,"$294.69","Freehold Strata","94",,"94",,
"R2289130","Residential Attached","C","407 5488 CECIL STREET","Collingwood VE","32","2","2008","0.00","Apartment/Condo","Vancouver East","027-883-507","V5R 4E5",,,,,,,,"1","C2","$588,000","0.00","Greater Vancouver","1",,,,,"10",,"778-836-1026",,,,"0","2",,,,,"Vancouver","Residential Attached",,,,,,"10/12/2018","0","787","0","Concrete Perimeter","$1,106.26",,,,"Yes",,,,"8/13/2018",,"7/12/2018",,,,"1",,"1",,"$699,000",,,"BC","This is the one! Rare to find! Top floor corner unit. Conveniently located. Steps to parks, skytrain station, restaurants and stores, 5 minutes drive to Metrotown. Open concept layout  with 9' ceiling feels spacious and airy. Enjoy gorgeous mountain and city views from large picture windows, lots of outdoor space. Brand new paint, carpet and light fixtures. And so much more!","All Measurements are approximate. Buyer or Buyer's agent to verify if important. Please call or text Cecilia Xia for showing requests","For Sale",,,"8/13/2018",,,,"$358.48","Freehold Strata",,,,,
"R2279095","Residential Detached","T","21569 121 AVENUE","West Central","60","2","9999","3,706.00","House/Single Family","Maple Ridge","007-723-351","V2X 3S5","34.00",,,,,,,"2","SFD","$589,000","0.09","Greater Vancouver","1",,,,,"999",,"604-762-6602",,,,"0","2",,,,,"Maple Ridge","Residential Detached",,,,"109",,"8/13/2018","1","1,364","0","Concrete Perimeter","$3,424.36",,,,"Yes",,,,"8/13/2018",,"6/11/2018",,,,"2",,"1",,"$0","9/12/2018",,"BC","Awesome West Maple Ridge Location! Close to schools, daycare and transit. Great for first time Buyers, investors and builders. This 3 bedroom 2 bathroom home features open concept in the living, dining and kitchen, with cozy gas fireplace in the living room. Newer dishwasher and washing machine. Upper floor loft area features master bedroom plus den and 3 pc ensuite bathroom which could be combined as one large master bedroom. Nice level lot, with fully fenced back yard. Bring your paint brush and your ideas, with a little TLC this could be a wonderful home for the right Buyer.",,"For Sale",,,"8/13/2018",,,,,"Freehold NonStrata",,,,,
"R2275026","Residential Attached","C","2901 3080 LINCOLN AVENUE","North Coquitlam","77","1","2016","0.00","Apartment/Condo","Coquitlam","029-809-886","V3B 0L9",,,,,,,,"1","C4","$589,000","0.00","Greater Vancouver","1",,,,,"2",,"778-847-6019",,,,"0","1",,,,,"Coquitlam","Residential Attached",,,,,,"9/30/2018","0","687","0","Concrete Perimeter","$2,276.78",,,,"Yes",,,,"8/17/2018",,"6/1/2018",,,,"1",,"1",,"$0",,,"BC","WESTWOOD 1123 by Onni Group. Centrally located in Coquitlam. Proximity to shopping, restaurants, schools, recreation and parks. Minutes to Evergreen Line Lincoln station. Enjoy this northern exposure, with breathtaking unobstructed mountain views. 140SF of balcony space on the higher floor. Spacious kitchen and living room with additional den, perfect for workspace. This unit also comes with 1 underground secured parking stall and storage locker for your living convenience. Exclusive access to 16,000SF of indoor & outdoor amenities include outdoor pool, hot tub, exercise room, yoga & pilates studio and sauna room. Good Opportunity for first time homebuyers or investors","Measurements are approximate, buyer to verify if important. Unit currently tenanted on a month to month basis and tenant willing to stay. Current rent $1,550 monthly. Showing can only be scheduled with at least 24 hours notice on Weds 12-4pm **Parking stall#116 , Storage Locker# 101","For Sale",,,"8/17/2018",,"37",,"$231.31","Freehold Strata","249",,"249",,
"R2293334","Residential Attached","S","6 40775 TANTALUS ROAD","Tantalus","14","2","2006","0.00","Apartment/Condo","Squamish","026-896-591","V8B 0N2",,,,"$589,000","1.00","$541.86","8/10/2018","2","CD-12","$589,000","0.00","Greater Vancouver","1",,,,"11/1/2018","12",,"604-815-3149",,,,"0","2",,,".",,"Squamish","Residential Attached",,"8/10/2018","13",,,"1/25/2019","1","1,087","0","Concrete Perimeter","$2,361.41","NOT USED",,,"Yes",,"DISTRICT OF SQUAMISH",,"8/13/2018",,"7/27/2018","Dist. of Squamish",,,"2",,"2",,"$0",,,"BC","Looking for something unique?, look no further.  You'll love this whistler style loft condo with vaulted ceilings and cozy gas fireplace for year round ambience and efficiency .  Modern 2 level condo has a main bedroom and a loft space perfect for a master bedroom; both have an ensuite! Gorgeous concrete flooring on the main floor for easy upkeep, open concept floating staircase, office area, and various closet spaces are just a few of the features this condo has to offer. Functional kitchen for any chef, granite countertop and SS appliances with plenty of cupboards space. Exterior patio provides amazing mountain views in a quiet neighbourhood. Enjoy extra storage space with your own assigned large 'C can' that is on site for private and secure storage with convenient access.","Easy to show.  On lock box, Meas taken from Strata Plan.  NO TOUCHBASE","For Sale",,"1.00","8/13/2018",,"3",,"$346.69","Freehold Strata","20",,"20",,"No"
"R2292151","Residential Attached","T","609 5598 ORMIDALE STREET","Collingwood VE","21","1","2017","0.00","Apartment/Condo","Vancouver East","030-007-658","V5R 0E5",,,,,,,,"1","CD-1","$589,900","0.00","Greater Vancouver","1",,,,,"1",,"604-346-7200",,,,"0","1",,,,,"Vancouver","Residential Attached",,,,,,"8/13/2018","0","597","0","Concrete Perimeter","$934.20",,,,"Yes",,,,"8/13/2018",,"7/23/2018",,,,"1",,"1",,"$0",,,"BC","Step into this IMMACULATE Zen Oasis at Wall Centre Central Park Gardens! Well built 1 Bed + Flex home is on the QUIET SIDE of building & features an efficient open floorplan, UPGRADED laminate floors throughout, floor to ceiling windows & a soothing light colour scheme. Walk through the open living/dining room leading to the covered balcony w/Expansive lush views of tree-lined streets & mtns. Chef's kitchen with custom cabinets, Quartz countertops & backsplash, Liebherr & Porter & Charles appliances. Relax in the spa-like bath w/rich Quartz countertops & chic stone finishes creating an atmosphere of natural beauty. Live, work or play at GOLD LEED Bldg with amenities incl indoor pool, terrace gardens, gym, party rm. 1 parking incl. ","Parking P1-8. Measurements are approx, buyer to verify if important. Please NO TEXT or TB! Call 604-346-7200 for showings. Patio msmt refers to balcony.","For Sale",,,"8/13/2018",,"8",,"$271.57","Freehold Strata","105",,"1,048",,
"R2242046","Residential Detached","X","15706 283 ROAD","Lakeshore","185","4","1997","0.00","House with Acreage","Fort St. John (Zone 60)","014-729-032","V1J 1Y0","0.00",,,,,,,"2","A2","$589,900","79.50","BC Northern","1",,,,,"21",,"250-793-9115",,,,"0","4",,,,,"Charlie Lake","Residential Detached",,,,"0",,"8/17/2018","1","2,700","0","Concrete Perimeter","$2,214.83",,,,"Yes",,,,"8/18/2018",,"2/14/2018",,,,"2",,,,"$0",,,"BC","Ever dream of owning a log home on your own private oasis? Well dreams do come true! This beautiful 2700 sq ft home situated on almost 80 acres is waiting for you. This home has an open concept with vaulted ceilings and natural light coming through. The wood burning stove will keep you warm through those cold winter days and give the whole home a nice cozy and warm feeling. The kitchen has a breakfast bar, counter top stove, 2 built-in ovens and is perfect for entertaining. The deck out the french doors out of the dining room leads to a gorgeous deck, so you can have that morning coffee and take in the private setting. Upstairs you will find a loft that overlooks the living room and 5 bdrms!",,"For Sale",,,"8/18/2018",,,,,"Freehold NonStrata",,,,,
"R2280501","Residential Attached","C","62 14838 61 AVENUE","Sullivan Station","60","3","2011","0.00","Townhouse","Surrey","028-792-815","V3S 2P3",,,,,,,,"2","CD","$590,000","0.00","Fraser Valley","1",,,,,"7",,"778-996-6236",,,,"0","3",,,,,"Surrey","Residential Attached",,,,,,"9/14/2018","0","1,304","0","Concrete Perimeter","$1,948.75",,,,"Yes",,,,"8/13/2018",,"6/14/2018",,,,"3",,"2",,"$579,999",,,"BC","Well kept , beautifully designed 3 bedroom 2 washroom unit is waiting for its new owner. Great location , minutes walk to public transportation, shopping and recreation.  Complex includes party room, guest suite and gym. Pets allowed with restriction and NO rental restrictions at all! Hurry up!","Measurement approx, Buyer to verify if deemed important. Text and Touchbase James for showing,no showing on Fridays","For Sale",,,"8/13/2018",,,,"$196.99","Freehold Strata","91",,,,
"R2099521","Residential Detached","T","3869 S CARIBOO 97 HIGHWAY","Lac la Hache","723","2","1999","0.00","House with Acreage","100 Mile House (Zone 10)","013-108-573","V0K 1T0","0.00",,,,,,,"2","RA1","$590,000","185.00","BC Northern","1",,,,,"19",,"250-706-5500",,,,"0","2",,,,,"Lac La Hache","Residential Detached",,,,"0",,"8/16/2018","1","1,260","0","Concrete Perimeter","$1,580.48",,,,"Yes",,,,"8/16/2018",,"8/8/2016",,,,"1",,,,"$649,000","9/30/2018",,"BC","Quaint log rancher nestled on 185 rolling acres with private lakefront. Totally secluded for those that enjoy peace and quiet, with all of nature at your doorstep. Conveniently located mid-way between 100 Mile House and Williams Lake allowing you to enjoy all the services of either community within about a half hour drive. Cozy 2 bedroom/2 bathroom home with large covered deck. Partially fenced acreage would make an ideal hobby farm or provide you with miles of trails for horseback riding, hiking, cross country, snow shoeing, or the big boy toys. Mt Timothy is about a 45 minute drive for all a great family hill of skiing and snowboarding.","Rancher has HWY 97 address but is accessed off of Dodge Rd.  Easement over 110 bare land acres (3859 Dodge Rd).  See listing agent regarding spring water access on crown land.","For Sale",,,"8/16/2018",,,,,"Freehold NonStrata",,,,,
"R2285992","Residential Attached","C","64 14838 61 AVENUE","Sullivan Station","42","3","2012","0.00","Townhouse","Surrey","028-792-831","V3S 2P3","0.00",,,,,,,"3","CD","$595,000","0.00","Fraser Valley","1",,,,,"6",,"604-723-2000",,,,"0","3",,,,,"Surrey","Residential Attached",,,,,,"12/31/2018","0","1,294","109","Concrete Perimeter","$1,938.38",,,,"Yes",,,,"8/15/2018",,"7/4/2018",,,,"3",,"2",,"$0",,,"BC","Welcome to Sequoia! Spacious 3 bedroom home with two full baths  up and a POWDER ROOM on the main. Open concept floorplan, 9' ceilings, granite counters in the kitchen, stainless appliance appliance, extra-height kitchen. WALK-OUT to a south facing fully fenced backyard over looking a community garden... a PERFECT way to relax in PRIVACY! Over-sized tandem garage, lots of storage space. LOW MAINTENANCE FEE OF $194.55! AMENITIES include a nice looking CLUB HOUSE walking out to a PATIO AREA with access to BBQ, green space to enjoy, an EXERCISE ROOM, a GUEST SUITE and lots of visitor parking. RENTALS ok & 2 PETS ok with restriction.","Easy to show. Please email any offers to info@mylyne.com with team disclosure.","For Sale",,,"8/15/2018",,,,"$194.55","Freehold Strata",,,"91",,
