"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N231732","Land Only","S","9999 MILE 147 HIGHWAY","Fort St. John - Rural W 100th",,,,"Fort St. John (Zone 60)","Fort St. John","3/10/2014","DOUG",,"$146.00","10/10/2013","018-032-397",,,"12/27/2013","$185,000",,"0.89",,,"A2","$209,000","78",,,"0.89","Recreational",,"Allowed Access","250-785-5520","3% ON THE 1ST $100,000 & 1.5% ON REMAINDER",,,,"0.00","No",,,"V0C 2B0",,,"BC","None",,"None","None"
"F1318398","Residential Attached","S","101 5776 200 STREET","Langley City","1993","Apartment/Condo","20","Langley","Langley","3/31/2014","Don Tebbutt or T/B","2","$1,649.00","8/1/2013","017-979-862","3","$250.00","12/27/2013","$185,000","$135.93","0.94","2","2","RM 2","$197,500","148","1,361","$135.93","0.88","Apartment/Condo","1",,"604-649-0235","S-3% 1ST 100K/1.15% BAL*","Glenwood Manor",,"1","0.00",,,"1","V3A 1M8",,,"BC",,,,
"F1326895","Residential Attached","S","404 33280 E BOURQUIN CRESCENT","Central Abbotsford","1993","Apartment/Condo","20","Abbotsford","Abbotsford","3/6/2014","Jim","2","$1,701.00","12/6/2013","018-338-259",,"$351.68","1/3/2014","$186,000","$134.30","0.95","2","2","RML","$195,000","28","1,385","$134.30","0.95","Apartment/Condo","1",,"604-859-2341","S-3.22% 1ST 100K/1.15% BAL",,,"1",,,,,"V2S 7K2",,,"BC",,,,
"F1327093","Residential Attached","S","160 27456 32ND AVENUE","Aldergrove Langley","1982","Townhouse","31","Langley","Langley","3/10/2014","MARTIN ENGH","1","$1,962.00","12/10/2013","000-864-463",,"$191.03","12/31/2013","$186,700","$157.29","0.98","2","3","STRATA","$189,900","21","1,187","$157.29","0.98","Townhouse","1",,"604-520-6829","S-3% 1ST 100K/1.15% BAL","CEDAR PARK",,"1",,,,"3","V4W 3P3",,,"BC",,,,
"N231811","Residential Detached","S","10439 98TH STREET","Taylor","1981","Manufactured","32","Fort St. John (Zone 60)","Taylor","1/15/2014","CINDY BRULE","1","$1,164.00","9/14/2013","009-112-359",,,"12/15/2013","$187,000","$175.09","0.96","1","3","R1","$195,900","92","1,068","$175.09","0.96","Manufactured","1",,"250-793-6333","3% ON 1ST $100,000/ 1.5% ON THE BALANCE",,"130","0","60.00",,"$0.00",,"V0C 2K0",,,"BC",,,,
"V1039608","Residential Attached","S","412 2960 PRINCESS CRESCENT","Canyon Springs","1993","Apartment/Condo","20","Coquitlam","Coquitlam","3/12/2014","TB OR JASON VAN HUIZEN","1","$1,301.00","12/27/2013","018-334-555","4","$255.00","12/27/2013","$187,500","$264.46","0.96","1","1","RM4","$194,900","0","709","$264.46","0.96","Apartment/Condo","1",,"604-779-5067","3.255%-1ST $100K/1.165% BAL","THE JEFFERSON",,"1",,,,,"V3B 7P2",,,"BC",,,,
"F1320922","Residential Attached","S","412 20750 DUNCAN WAY","Langley City","2006","Apartment/Condo","7","Langley","Langley","4/28/2014","Melissa Coombes","2","$1,357.00","9/2/2013","026-831-996","4","$237.00","12/27/2013","$187,500","$231.48","0.94","2","2","MF","$199,500","116","810","$231.48","0.94","Apartment/Condo","1",,"604-533-3491","S-3.22% 1ST 100K/1.15% BAL*",,,"1",,,,"1","V3A 9J6",,"OWNER NEVER LIVED IN UNIT","BC",,,,
"H1304375","Residential Attached","S","413 45769 STEVENSON ROAD","Sardis East Vedder Rd","2005","Apartment/Condo","8","Sardis","Sardis","3/30/2014","LINDA","2","$1,439.00","11/24/2013","026-354-101","4","$184.92","12/22/2013","$187,500","$197.78","0.96","2","1","CD-7","$194,800","28","948","$197.78","0.96","Apartment/Condo","1",,"604-795-2955","3% 1ST 100K/1.25% BAL L 1/2 BF","PARK PLACE 1",,"0",,,,"1","V2R 5Z2",,,"BC",,,,
"V1035402","Residential Attached","S","110 8511 ACKROYD ROAD","Brighouse","1984","Apartment/Condo","29","Richmond","Richmond","11/30/2014","KEVIN TSANG","1","$703.00","11/5/2013","000-662-241","3","$169.92","12/14/2013","$188,000","$288.79","0.95","1","1","R3","$199,000","39","651","$288.79","0.95","Apartment/Condo","1",,"604-537-7579","2.5% 1ST 100K/1.15% ON BAL","LEXINGTON SQUARE",,"0",,,,"1","V6X 3E7",,,"BC",,,,
"V1029300","Residential Attached","S","113 8751 GENERAL CURRIE ROAD","Brighouse South","1989","Apartment/Condo","24","Richmond","Richmond","3/30/2014","KAREN","1","$995.00","9/24/2013","013-103-814","3","$231.88","1/2/2014","$188,000","$257.53","0.95","1","1","RAM1","$199,000","100","730","$257.53","0.82","Apartment/Condo","1",,"604-657-3839","3.255% ON 1ST 100K/1.1625% ON BAL","SUNSET TERRACE",,"1",,,,"1","V6Y 3T7",,,"BC",,,,
"F1321598","Residential Attached","S","309 5811 177B STREET","Cloverdale BC","2013","Apartment/Condo","0","Cloverdale","Surrey","2/19/2014","JEFF WHYTE","1","$0.00","9/10/2013","900-568-558","4","$199.23","12/18/2013","$190,000","$294.12","0.95","1","1","MF","$199,900","99","646","$294.12","0.95","Apartment/Condo","1",,"604-202-9202","S-3.22% 1ST 100K/1.15% BAL","LATIS",,"0",,,,"1","V3S 4J4",,,"BC",,,,
"F1311129","Residential Attached","S","101 5363 206TH STREET","Langley City","1989","Apartment/Condo","24","Langley","Langley","2/6/2014","Launa","2","$1,630.00","5/6/2013","014-137-151","3","$232.31","12/31/2013","$190,000","$173.83","0.96","2","2","MR","$198,000","239","1,093","$173.83","0.91","Apartment/Condo","1",,"604-307-5353","S-$3000","Parkway II",,"1",,,,"1","V3A 2C5",,"upon accepted offer","BC",,,,
"F1320237","Residential Attached","S","304 5776 200TH STREET","Langley City","1993","Apartment/Condo","20","Langley","Langley","12/31/2013","Brent Roberts Team","2","$1,696.00","8/26/2013","017-980-062",,"$241.56","12/14/2013","$190,000","$136.59","0.95","2","2","RM2","$199,880","110","1,391","$136.59","0.95","Apartment/Condo","1",,"604-585-7653","S-5.22% 1ST 100K/1.15% BAL","Glenwood Manor",,"1","0.00",,,"1","V3A 1M8",,,"BC",,,,
"F1319879","Residential Attached","S","208 13618 100TH AVENUE","Whalley","2008","Apartment/Condo","5","North Surrey","Surrey","4/30/2014","Darlene Haggerty","1","$1,076.00","8/22/2013","027-417-085",,"$217.81","12/22/2013","$192,500","$320.83","0.97","1","1","APT","$198,000","122","600","$320.83","0.92","Apartment/Condo","1",,"778-999-2234","S-3.22% 1ST 100K/1.15% BAL","Infinity Towers",,"0",,,,"1","V3T 0A8",,,"BC",,,,
"V1037444","Residential Attached","S","305 2439 WILSON AVENUE","Central Pt Coquitlam","1993","Apartment/Condo","20","Port Coquitlam","Port Coquitlam","12/7/2014","PHIL WEBER","1","$1,138.00","11/25/2013","018-461-441","4","$198.00","12/17/2013","$193,000","$268.06","0.97","1","1","STRATA","$199,900","22","720","$268.06","0.97","Apartment/Condo","1",,"778-887-7770","3.255 ON 1ST 100,000/1.1625 ON BAL",,,"1",,,,"1","V3C 6H6",,,"BC",,,,
"F1324713","Residential Attached","S","608 11901 89A AVENUE","Annieville","1973","Townhouse","40","N. Delta","Delta","4/27/2014","GEORGE DEOL","1","$1,157.00","10/27/2013","001-072-765","2","$265.00","12/27/2013","$194,000","$159.54","0.97","2","3","MF","$199,999","61","1,216","$159.54","0.86","Townhouse","1",,"604-562-5090","S-3.2% 1ST 100K/1.1% BAL",,,"0",,,,"1","V4C 3G8",,,"BC",,,,
"V1037101","Residential Attached","S","2 11869 223RD STREET","West Central","1987","Townhouse","26","Maple Ridge","Maple Ridge","4/30/2014","TARA MATTHEWS","1","$2,357.00","11/22/2013","005-590-973",,"$150.00","12/18/2013","$195,000","$154.15","0.98","2","3","STRATA","$200,000","26","1,265","$154.15","0.98","Townhouse","1",,"604-939-6666","3.255%/100,000 - 1.1625%/BALANCE",,,"1",,,,,"V2X 5Y2",,"NOT LIVING IN","BC",,,,
"V1036838","Residential Attached","S","34 5761 WHARF AVENUE","Sechelt District","1991","Townhouse","22","Sunshine Coast","Sechelt","5/13/2014","BRENT OR KATHY","2","$2,300.00","11/18/2013","017-714-044",,"$148.00","12/20/2013","$195,000","$181.23","0.93","2","2","STRATA","$209,000","32","1,076","$181.23","0.93","Townhouse","1",,"604-885-4313","3.255% ON 1ST $100,000 & 1.1625% ON THE BALANCE","ROYAL REACH",,"0",,,,"1","V0N 3A0",,,"BC",,,,
"N230779","Residential Detached","S","1848 SLOAN AVENUE","Prince Rupert - City","1979","House/Single Family","34","Prince Rupert (Zone 52)","Prince Rupert","1/9/2014","MIKE MORSE","2","$2,850.00","9/4/2013","004-610-521",,,"12/13/2013","$195,000","$88.88","0.91","3","4","R2","$215,000","100","2,194","$88.88","0.85","House/Single Family","1",,"250-600-6620","3% ON 1ST $100,000/1.5% ON REMAINDER",,,"1","0.00",,,"3","V8J 4B5",,,"BC",,,,
"V1033377","Residential Attached","S","102 33 N TEMPLETON DRIVE","Hastings","1989","Apartment/Condo","24","Vancouver East","Vancouver","1/31/2014","LARSON","1","$726.00","10/21/2013","015-243-699","4","$251.05","12/14/2013","$195,000","$402.89","0.95","1","1","RM-3A","$205,000","54","484","$402.89","0.95","Apartment/Condo","1",,"778-829-5928","$3,000",,,"0",,,,"1","V5L 3C9",,,"BC",,,,
"F1318744","Residential Attached","S","5 32917 AMICUS PLACE","Central Abbotsford","1982","Townhouse","31","Abbotsford","Abbotsford","10/6/2014","VIRGINIA","2","$1,930.00","8/5/2013","001-738-071",,"$250.00","12/21/2013","$196,000","$91.76","0.99","4","3","RM45","$197,900","138","2,136","$91.76","0.91","Townhouse","1",,"604-859-2341","S-3.22% 1ST 100K/1.15% BAL","PINE GROVE TERRACE","0","1","0.00",,,"2","V2S 6G9",,"Owner has not lived there","BC",,,,
"F1325651","Residential Attached","S","212 9299 121ST STREET","Queen Mary Park Surrey","1991","Apartment/Condo","22","Surrey","Surrey","4/11/2014","DEBBIE","2","$1,181.00","11/9/2013","016-440-421","4","$313.78","12/21/2013","$198,000","$157.14","0.99","2","2","MRES","$199,900","42","1,260","$157.14","0.94","Apartment/Condo","1",,"604-437-1123","S-3.255% 1ST 100K/1.125% BAL","Kensington Gate",,"1",,,,"2","V3V 7X8",,,"BC",,,,
"N229584","Residential Detached","S","2 PARSNIP CRESCENT","Mackenzie -Town","1971","House/Single Family","42","Mackenzie (Zone 69)","Mackenzie","12/31/2013","LOUISE SKAVLEBO","2","$2,255.00","7/22/2013","010-769-943",,,"12/23/2013","$198,000","$100.61","0.94","3","4","R1","$209,900","154","1,968","$100.61","0.84","House/Single Family","1",,"250-997-6773","2.8% ON 1ST $100,000/1.5% ON BALANCE",,,"1","0.00",,,"6","V0J 2C0",,,"BC",,,,
"H1304112","Residential Detached","S","500 GLENAIRE DRIVE","Hope Center","1982","House/Single Family","31","Hope","Hope","3/26/2014","DAVID OR ANDY","1","$2,385.00","10/30/2013","005-370-558",,,"12/19/2013","$200,000","$110.62","0.93","2","4","RS-1","$215,000","50","1,808","$110.62","0.93","House/Single Family","1",,"604-869-2945","3% 1ST 100K/1% BAL L1/2BF",,"109/.163 AC","0","65.00",,,,"V0X 1L4",,,"BC",,,,
"F1306470","Land Only","S","33717 LINCOLN ROAD","Central Abbotsford",,,,"Abbotsford","Abbotsford","3/31/2014","Stan",,"$1,803.00","3/15/2013","009-586-253",,,"12/17/2013","$200,000","$21.44","0.95",,,"RS2","$210,000","277",,"$21.44","0.77","House/Single Family",,"Road Access","604-855-2122","S-$3500",,"148.2",,"63.00","No",,,"V2S 1S1","Not Known","seller never lived on property","BC","At Lot Line",,"At Lot Line","City/Municipal"
"F1306473","Land Only","S","33727 LINCOLN ROAD","Central Abbotsford",,,,"Abbotsford","Abbotsford","3/31/2014","Stan",,"$1,802.00","3/15/2013","009-586-211",,,"12/17/2013","$200,000","$21.44","0.95",,,"RS2","$210,000","277",,"$21.44","0.63","House/Single Family",,"Road Access","604-855-2122","S-$3500",,"148.2",,"63.00","No",,,"V2S 1S1","Not Known","seller never lived on property","BC","At Lot Line",,"At Lot Line","City/Municipal"
"V1037443","Residential Attached","S","115 2429 HAWTHORNE AVENUE","Central Pt Coquitlam","1992","Apartment/Condo","21","Port Coquitlam","Port Coquitlam","7/7/2014","PHIL WEBER","2","$1,336.00","11/25/2013","017-878-306","3","$429.08","12/16/2013","$200,000","$225.48","0.96","2","2","STRATA","$209,000","21","887","$225.48","0.91","Apartment/Condo","1",,"778-887-7770","3.255 ON 1ST 100,000/1.1625 ON BAL",,,"1",,,,"2","V3C 6G6",,,"BC",,,,
"V1038696","Residential Attached","S","111 707 HAMILTON STREET","Uptown NW","1974","Apartment/Condo","39","New Westminster","New Westminster","3/9/2014","Brian Power","1","$1,386.00","12/9/2013","001-166-948","3","$463.05","12/27/2013","$200,000","$195.31","0.95","2","2","MULTI","$210,000","18","1,024","$195.31","0.95","Apartment/Condo","1",,"604-671-4393","3.255% ON 1ST 100K / 1.1625% ON BAL","Casa Diann",,"1",,,,"1","V3M 2M7",,,"BC",,,,
"V1039587","Residential Attached","S","530 4008 STOLBERG STREET","West Cambie","2017","Apartment/Condo","0","Richmond","Richmond","12/30/2014","Kit","1","$0.00","12/24/2013","800-082-558",,"$191.62","12/27/2013","$200,150","$519.87","1.00","1","1","MF","$201,000","3","385","$519.87","1.00","Apartment/Condo","1",,"604-728-5385","2.5% ON 1ST 100K / 1.1625% ON BAL","Mandarin Court",,"0",,,,"1","V0V 0V0",,,"BC",,,,
"F1321062","Residential Attached","S","605 14820 104 AVENUE","Guildford","1995","Apartment/Condo","18","North Surrey","Surrey","4/30/2014","NIGEL","2","$1,114.00","9/8/2013","019-129-939",,"$297.00","12/27/2013","$203,000","$189.54","0.96","2","2","APT","$212,500","110","1,071","$189.54","0.93","Apartment/Condo","1",,"604-585-3542","S-3.22% 1ST 100K/1.15% BAL","CAMELOT",,"1","0.00",,,"2","V3R 0V9",,,"BC",,,,
"V1032197","Residential Attached","S","122 15 SIXTH AVENUE","GlenBrooke North","1999","Apartment/Condo","14","New Westminster","New Westminster","10/30/2014","Patti","1","$1,460.00","10/14/2013","024-557-439",,"$184.01","12/16/2013","$203,000","$303.89","0.97","1","1","APT","$209,900","63","668","$303.89","0.92","Apartment/Condo","1",,"604-526-2888","3.255% ON 1ST 100K/ 1.1625% ON BAL.","THE CROFTON",,"1",,,,"1","V3L 1T1",,,"BC",,,,
"N225970","Residential Detached","S","31 YAKOUN STREET","Port Clements","1996","House/Single Family","17","Prince Rupert (Zone 52)","Port Clements","4/1/2014","ED HANDJA","3","$2,408.00","4/1/2013","013-159-313",,,"12/23/2013","$205,000","$90.31","0.95","3","4","R1","$215,000","266","2,270","$90.31","0.91","House/Single Family","1",,"800-563-7322","3.5%",,"132","2","50.00",,,"10","V0T 1R0",,,"BC",,,,
"V1023886","Residential Attached","S","206 545 SYDNEY AVENUE","Coquitlam West","1976","Apartment/Condo","37","Coquitlam","Coquitlam","1/31/2014","ANDREA JAUCK","1","$806.00","8/21/2013","001-359-924",,"$252.58","12/24/2013","$209,000","$276.09","1.00","1","1","STRATA","$209,900","125","757","$276.09","0.97","Apartment/Condo","1",,"604-783-3124","3.255% ON 1ST $100000 + 1.1625% ON BALANCE","THE GABLES",,"1",,,,"1","V3K 3J7",,,"BC",,,,
"F1309943","Land Only","S","30195 BERG AVENUE","Stave Falls",,,,"Mission","Mission","4/24/2014","JOHN DALE OR TOUCHBASE",,"$0.00","4/24/2013","029-055-105",,,"12/30/2013","$210,000","$1.76","0.92",,,"RR7","$229,000","250",,"$1.76","0.88","House/Single Family",,"Road Access","604-816-9604","S-3.22% 1ST 100K/1.15% BAL",,"424.67 (2.743AC)",,,"Yes",,,"V4S 1C8",,,"BC","None",,"None","Well - Drilled"
"N229620","Residential Detached","S","7114 HART HIGHWAY","Hart Highway","1977","House/Single Family","36","PG City North (Zone 73)","Prince George","12/31/2013","AARON SWITZER","2","$3,192.00","7/24/2013","010-353-925",,,"12/20/2013","$210,000","$70.00","0.96","3","6","RS1","$219,007","149","3,000","$70.00","0.84","House/Single Family","1",,"250-640-7355","3% ON 1ST $100,000/1% ON REMAINING BALANCE","HART HIGHWAY","300","2","100.00",,,,"V2K 3R8",,,"BC",,,,
"V1035062","Residential Attached","S","203 1611 E 3RD AVENUE","Grandview VE","1975","Apartment/Condo","38","Vancouver East","Vancouver","1/31/2014","GLENN","1","$989.00","11/2/2013","003-744-892","3","$239.91","12/22/2013","$210,000","$333.86","0.96","1","1","MF","$219,900","50","629","$333.86","0.89","Apartment/Condo","1",,"604-250-6868","3.255% ON 1ST $100,000 & 1.1625% ON BALANCE","Villa Verde",,"0",,,,"1","V5N 1H1",,,"BC",,,,
"V1028440","Residential Attached","S","206 7600 FRANCIS ROAD","Broadmoor","1989","Apartment/Condo","24","Richmond","Richmond","8/15/2014","RICH","1","$955.00","9/18/2013","008-830-975",,"$231.27","1/3/2014","$210,500","$277.70","0.92","1","1","APT","$229,000","107","758","$277.70","0.92","Apartment/Condo","1",,"604-781-2128","3.2% 1ST 100K/1.1% ON BAL",,,"1",,,,"1","V6Y 1A2",,,"BC",,,,
"N231783","Residential Detached","S","2688 INLANDER STREET","South Fort George","1910","House/Single Family","103","PG City Central (Zone 72)","Prince George","1/21/2014","DONNA(9-3:30) MARK OR REBECCA","0","$1,594.00","10/21/2013","014-637-766",,,"12/29/2013","$211,000","$117.88","0.90","0","2","RS2","$234,900","69","1,790","$117.88","0.90","House/Single Family","1",,"250-563-1000","3% ON THE 1ST $100,000 AND 1% ON THE BALANCE",,"125","0","63.00",,,"2","V2L 1J9",,,"BC",,,,
"F1321503","Residential Attached","S","902 9143 154TH STREET","Fleetwood Tynehead","1988","Townhouse","25","Surrey","Surrey","1/30/2014","Michelle McConnell","2","$1,390.00","9/9/2013","005-041-899",,"$222.00","12/31/2013","$212,000","$146.21","0.96","2","2","RM","$219,900","113","1,450","$146.21","0.85","Townhouse","1",,"604-583-2000","S-3.22% 1ST 100K/1.15% BAL*","Lexington Square",,"1",,,,"1","V3R 9G8",,,"BC",,,,
"N230960","Residential Detached","S","1106 W 16 HIGHWAY","Telkwa","1953","House with Acreage","60","Smithers And Area (Zone 54)","Telkwa","9/15/2014","JEREMY PENNINGA","2","$3,168.00","9/16/2013","012-080-241",,,"1/1/2014","$212,000","$66.25","0.92","2","6","C2","$229,500","107","3,200","$66.25","0.89","House with Acreage","1",,"250-847-0830","3% ON THE 1ST $100,000 AND 1.5% ON THE BALANCE.",,,"1","0.00",,,,"V0J 2X0",,,"BC",,,,
"F1303071","Residential Attached","S","42 32361 MCRAE AVENUE","Mission BC","1994","Townhouse","19","Mission","Mission","2/4/2014","JOHN","2","$2,557.00","2/4/2013","019-098-707",,"$267.02","12/27/2013","$213,000","$152.14","0.97","3","3","MF30","$219,900","326","1,400","$152.14","0.94","Townhouse","1",,"604-807-0364","S-3.2% 1ST 100K/1.1% BAL","Spencer Estates",,"1",,,,"2","V2V 4X7",,"UPON ACCEPTED OFFER","BC",,,,
"H1304355","Residential Attached","S","2 8880 NOWELL STREET","Chilliwack E Young-Yale","2006","Townhouse","7","Chilliwack","Chilliwack","3/31/2014","NORM","2","$1,795.00","11/20/2013","026-933-519",,"$190.00","12/17/2013","$215,000","$115.84","0.98","3","3","R4","$219,000","27","1,856","$115.84","0.98","Townhouse","1",,"604-795-1960","3% 1ST 100K/1.25% BAL L1/2BF",,,"1",,,,"1","V2P 0A6",,,"BC",,,,
"F1319554","Residential Attached","S","309 33599 2ND AVENUE","Mission BC","1997","Apartment/Condo","16","Mission","Mission","7/31/2014","TOUCHBASE","2","$2,314.00","8/16/2013","023-867-744",,"$298.85","12/29/2013","$215,000","$189.76","0.98","2","2","RM4","$218,500","135","1,133","$189.76","0.98","Apartment/Condo","1",,,"S-3.22% 1ST 100K/1.15% BAL","STAVE LAKE LANDING",,"1",,,,"2","V2V 6J3",,,"BC",,,,
"N229449","Residential Detached","S","850 SPRUCE AVENUE","100 Mile House - Town","1998","House/Single Family","15","100 Mile House (Zone 10)","100 Mile House","12/31/2013","KATHY FIRTH","1","$1,913.00","7/12/2013","023-385-316",,,"12/20/2013","$215,500","$179.58","0.97","2","3","R1","$222,500","161","1,200","$179.58","0.95","House/Single Family","1",,"250-706-9776","$2,500.00 TWO THOUSAND FIVE HUNDRED DOLLARS",,,"0","0.00",,,"4","V0K 2E0",,,"BC",,,,
"V1034844","Residential Attached","S","304 334 E 5TH AVENUE","Mount Pleasant VE","1977","Apartment/Condo","36","Vancouver East","Vancouver","1/31/2014","KEVIN SKIPWORTH","1","$737.00","11/4/2013","004-139-208",,"$153.92","12/30/2013","$216,000","$509.43","0.97","1","0","RM-4","$222,000","56","424","$509.43","0.97","Apartment/Condo","1",,"604-689-8226","3.255% ON 1ST $100,000/1.1625% ON BAL",,,"0",,,,"1","V5T 1H4",,,"BC",,,,
"F1326062","Residential Attached","S","301 15338 18TH AVENUE","King George Corridor","1989","Apartment/Condo","24","South Surrey White Rock","Surrey","1/31/2014","MIRIAM","2",,"11/19/2013","015-668-711","3","$339.26","12/15/2013","$217,651","$178.99","1.15","2","2","RM","$189,000","26","1,216","$178.99","1.06","Apartment/Condo","1",,"778-240-0555","S-2.75% 1ST 150K/1.25% BAL","Parkview Gardens",,"1",,,,"2","V4A 1W8",,"COURT ORDERED SALE","BC",,,,
"N232364","Residential Detached","S","133 SKEENA STREET","Kitimat","1956","House/Single Family","57","Kitimat (Zone 89)","Kitimat","2/23/2014","SHANNON","1","$1,757.00","11/23/2013","011-913-436",,,"12/19/2013","$219,000","$201.66","1.01","1","3","R2A","$217,000","26","1,086","$201.66","0.93","House/Single Family","1",,"250-632-7000","3% ON THE 1ST $100,000/ 1.5% ON THE BALANCE",,,"0","0.00",,,"3","V8C 1Z1",,,"BC",,,,
"V1023613","Residential Attached","S","312 12020 207A STREET","Northwest Maple Ridge","2005","Apartment/Condo","8","Maple Ridge","Maple Ridge","4/30/2014","KRIS OR MARK","2","$2,173.00","8/20/2013","026-306-891",,"$406.63","12/20/2013","$219,500","$184.45","0.98","2","2","APT","$224,900","122","1,190","$184.45","0.93","Apartment/Condo","1",,"604-467-0811","3.255% ON 1ST $100,000 & 1.1625% BAL + $5000.00",,,"1",,,,"2","V2X 8V2",,,"BC",,,,
"N231541","Residential Detached","S","9724 102ND AVENUE","Fort St. John - City SW","9999","House/Single Family","999","Fort St. John (Zone 60)","Fort St. John","3/1/2014","HOME PROS","1","$1,638.00","10/8/2013","010-708-758",,,"12/21/2013","$220,000","$223.58","0.95","1","3","R2","$232,900","74","984","$223.58","0.92","House/Single Family","1",,"250-785-6601","2.5% ON THE 1ST $100,000 & 1.25% ON THE REMAINDER",,"122","0","50.00",,,"4","V1J 2C8",,,"BC",,,,
"V1020381","Residential Detached","S","624 WYNGAERT ROAD","Gibsons & Area","1960","House/Single Family","53","Sunshine Coast","Gibsons","2/28/2014","TINA KAIZER","1","$2,164.00","7/30/2013","010-336-141",,,"1/3/2014","$220,000","$137.50","0.95","1","2","R3","$230,900","157","1,600","$137.50","0.85","House/Single Family","1",,"604-741-5066","3.255% ON 1ST $100,000 & 1.1625% ON BALANCE",,,"0",,,,"3","V0N 1V9",,"COURT ORDER SALE","BC",,,,
"F1324830","Residential Attached","S","102 1360 MARTIN STREET","White Rock","1973","Apartment/Condo","40","South Surrey White Rock","White Rock","1/31/2014","Hamish Ross","2","$1,577.00","10/28/2013","001-150-928",,"$303.00","12/18/2013","$220,000","$223.58","0.92","2","2","RM","$239,800","51","984","$223.58","0.92","Apartment/Condo","1",,"604-376-7687","S-3.22% 1ST 100K/1.15% BAL",,"0","2","0.00",,,"1","V4B 3W5",,,"BC",,,,
"V1036891","Residential Attached","S","330 711 E 6TH AVENUE","Mount Pleasant VE","1965","Apartment/Condo","48","Vancouver East","Vancouver","3/31/2014","L.R.","1","$1,030.00","11/18/2013","016-160-240",,"$257.00","12/22/2013","$220,000","$330.83","0.92","1","1","RM-4","$238,000","34","665","$330.83","0.92","Apartment/Condo","1",,"604-889-0058","3.255% ON 1ST $100,000 & 1.625% ON BALANCE",,,"0",,,,"1","V5T 1L7",,,"BC",,,,
"V1021601","Residential Attached","S","513 1327 E KEITH ROAD","Lynnmour","1992","Apartment/Condo","21","North Vancouver","North Vancouver","1/30/2014","Jason Low","1","$2,207.00","8/8/2013","017-841-330",,"$266.00","12/13/2013","$220,000","$280.25","0.96","1","1","CD7","$229,900","127","785","$280.25","0.80","Apartment/Condo","1",,"604-790-5276","3.5% ON 1ST $100,000 + 1.25% BALANCE",,,"0",,,,"1","V7J 3T5",,"Court Ordered Sale","BC",,,,
"V1027397","Residential Attached","S","110 3925 KINGSWAY STREET","Central Park BS","1974","Apartment/Condo","39","Burnaby South","Burnaby","2/11/2014","SIMON LY","1","$1,505.00","9/12/2013","001-262-980",,"$252.88","12/25/2013","$220,000","$268.29","0.88","1","2","RM3","$249,000","104","820","$268.29","0.88","Apartment/Condo","1",,"778-895-8257","3.255% 1ST 100K/1.1625% ON BAL",,,"1",,,,"1","V5H 3Y7",,,"BC",,,,
"V1019576","Residential Attached","S","204 3051 AIREY DRIVE","West Cambie","1994","Apartment/Condo","19","Richmond","Richmond","7/30/2014","MYJHAND","2","$1,068.00","7/23/2013","018-636-691",,"$350.10","12/29/2013","$221,000","$268.20","0.92","2","2","RAM1","$241,000","159","824","$268.20","0.83","Apartment/Condo","1",,"778-869-1239","3.255% 1ST 100K/1.1625% ON BAL","WEST CAMBIE",,"0",,,,,"V6X 3X6",,,"BC",,,,
"V1038905","Residential Attached","S","507 1026 QUEENS AVENUE","Uptown NW","1984","Apartment/Condo","29","New Westminster","New Westminster","4/30/2014","MIKE WILSON/TOUCHBASE","2","$1,263.00","12/11/2013","002-524-538","14","$293.41","12/20/2013","$222,000","$257.84","0.97","2","2","RM4","$229,930","9","861","$257.84","0.97","Apartment/Condo","1",,"604-533-3491","3.22% ON 1ST $100,000/1.15% ON BAL**",,,"0",,,,"1","V3M 6B2",,,"BC",,,,
"F1326193","Residential Attached","S","3D 1400 GEORGE STREET","White Rock","1990","Apartment/Condo","23","South Surrey White Rock","White Rock","4/30/2014","Anita Marler","2","$1,555.00","11/21/2013","015-179-940","3","$284.77","12/19/2013","$222,900","$226.99","0.97","2","2","RMF","$229,900","28","982","$226.99","0.97","Apartment/Condo","1",,"604-531-4000","S-3.22% 1ST 100K/1.15% BAL","GEORGIAN PLACE",,"1",,,,"1","V4B 4A3",,,"BC",,,,
"F1324530","Residential Attached","S","1404 13399 104TH AVENUE","Whalley","2009","Apartment/Condo","4","North Surrey","Surrey","3/1/2014","Satnam T. Sidhu","1","$1,572.00","10/24/2013","027-926-877",,"$298.59","12/17/2013","$223,000","$282.28","0.99","1","1","CD","$225,000","54","790","$282.28","0.91","Apartment/Condo","1",,"604-351-1527","S-3.5% 1ST 100K/1.25% BAL","D'CORIZE",,"0",,,,"1","V3T 0C9",,"COURT ORDERED SALE","BC",,,,
